Implementation smell,Namespace,Class,File,Method,Description
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
Magic Number,XG.Plugin.Jabber,Plugin,C:\repos\lformella_xdcc-grabscher\XG.Plugin.Jabber\Plugin.cs,UpdateState,The following statement contains a magic number: if (aSpeed > 0)  			{  				string str;  				if (aSpeed < 1024)  				{  					str = aSpeed + " B/s";  				}  				else if (aSpeed < 1024 * 1024)  				{  					str = (aSpeed / 1024).ToString("0.00") + " KB/s";  				}  				else if (aSpeed < 1024 * 1024 * 1024)  				{  					str = (aSpeed / (1024 * 1024)).ToString("0.00") + " MB/s";  				}  				else  				{  					str = (aSpeed / (1024 * 1024 * 1024)).ToString("0.00") + " GB/s";  				}    				p = new Presence(ShowType.chat' str) {Type = PresenceType.available};  			}  			else  			{  				p = new Presence(ShowType.away' "Idle") {Type = PresenceType.available};  			}
