Implementation smell,Namespace,Class,File,Method,Description
Long Method,PerVertexDirectionalLighting,GLViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLViewController.cs,Draw,The method has 216 lines of code.
Long Parameter List,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetOrthoProjection,The method has 7 parameters. Parameters: matrix' left' right' bottom' top' near' far
Long Parameter List,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetFrustumProjection,The method has 7 parameters. Parameters: matrix' left' right' bottom' top' zNear' zFar
Long Parameter List,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetPerspectiveProjectionWithFieldOfView,The method has 5 parameters. Parameters: matrix' fieldOfVision' near' far' aspectRatio
Long Statement,PerVertexDirectionalLighting,GLView,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLView.cs,createBuffers,The length of the statement  "			GL.FramebufferRenderbuffer (FramebufferTarget.Framebuffer' FramebufferSlot.ColorAttachment0' RenderbufferTarget.Renderbuffer' renderBuffer); " is 140.
Long Statement,PerVertexDirectionalLighting,GLView,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLView.cs,createBuffers,The length of the statement  "			GL.GetRenderbufferParameter (RenderbufferTarget.Renderbuffer' RenderbufferParameterName.RenderbufferWidth' out backingWidth); " is 125.
Long Statement,PerVertexDirectionalLighting,GLView,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLView.cs,createBuffers,The length of the statement  "			GL.GetRenderbufferParameter (RenderbufferTarget.Renderbuffer' RenderbufferParameterName.RenderbufferHeight' out backingHeight); " is 127.
Long Statement,PerVertexDirectionalLighting,GLView,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLView.cs,createBuffers,The length of the statement  "			GL.RenderbufferStorage (RenderbufferTarget.Renderbuffer' RenderbufferInternalFormat.DepthComponent16' backingWidth' backingHeight); " is 131.
Long Statement,PerVertexDirectionalLighting,GLView,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLView.cs,createBuffers,The length of the statement  "			GL.FramebufferRenderbuffer (FramebufferTarget.Framebuffer' FramebufferSlot.DepthAttachment' RenderbufferTarget.Renderbuffer' depthBuffer); " is 138.
Long Statement,PerVertexDirectionalLighting,GLView,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLView.cs,LayoutSubviews,The length of the statement  "			GL.GetRenderbufferParameter (RenderbufferTarget.Renderbuffer' RenderbufferParameterName.RenderbufferWidth' out backingWidth); " is 125.
Long Statement,PerVertexDirectionalLighting,GLView,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLView.cs,LayoutSubviews,The length of the statement  "			GL.GetRenderbufferParameter (RenderbufferTarget.Renderbuffer' RenderbufferParameterName.RenderbufferHeight' out backingHeight); " is 127.
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,radiansFromDegrees,The following statement contains a magic number: return (float)Math.PI * degrees / 180.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [3] = matrix [7] = matrix [11] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [3] = matrix [7] = matrix [11] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [3] = matrix [7] = matrix [11] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [15] = 1.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [2] = (vector.X * vector.Z) * (1 - c) - (vector.Y * s);
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [4] = (vector.X * vector.Y) * (1 - c) - (vector.Z * s);
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [5] = (vector.Y * vector.Y) * (1 - c) + c;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [6] = (vector.Y * vector.Z) * (1 - c) + (vector.X * s);
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [8] = (vector.X * vector.Z) * (1 - c) + (vector.Y * s);
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [9] = (vector.Y * vector.Z) * (1 - c) - (vector.X * s);
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetRotationByRadians,The following statement contains a magic number: matrix [10] = (vector.Z * vector.Z) * (1 - c) + c;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [0] = matrix [5] = matrix [10] = matrix [15] = 1.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [0] = matrix [5] = matrix [10] = matrix [15] = 1.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [0] = matrix [5] = matrix [10] = matrix [15] = 1.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
