Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The length of the statement  "			GL.BufferData (BufferTarget.ArrayBuffer' (IntPtr) (gCubeVertexData.Length * sizeof (float))' gCubeVertexData' BufferUsage.StaticDraw); " is 134.
Long Statement,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,Update,The length of the statement  "				modelViewMatrix = Matrix4.Mult (modelViewMatrix' Matrix4.CreateTranslation ((float) perm [i] * 5.0f + 10.0f' (float) i' 0)); " is 124.
Long Statement,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,Update,The length of the statement  "				modelViewMatrix = Matrix4.Mult (modelViewMatrix' Matrix4.CreateFromAxisAngle (new Vector3 (0' 0' 1)' (float) (2 * Math.PI * i / (float) NumCubes))); " is 148.
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,ViewDidLoad,The following statement contains a magic number: star [i].X = (float) (gen.NextDouble () - .5f) * FarZ;
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,ViewDidLoad,The following statement contains a magic number: star [i].Y = (float) (gen.NextDouble () - .5f) * FarZ;
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,ViewDidLoad,The following statement contains a magic number: rpyLabel = new UILabel (new CGRect (0' 0' (int) UIScreen.MainScreen.Bounds.Size.Width' 30));
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,ViewDidLoad,The following statement contains a magic number: rpyLabel.Font = UIFont.FromName ("Helvetica-Bold"' 20f);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,ViewWillAppear,The following statement contains a magic number: motionManager.DeviceMotionUpdateInterval = .01;
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,DrawInRect,The following statement contains a magic number: GL.DrawArrays (BeginMode.Triangles' 0' 36);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: effect.Light0.DiffuseColor = new Vector4 (gColorData [3 * i] / 255.0f'  				                                          gColorData [3 * i + 1] / 255.0f'  				                                          gColorData [3 * i + 2] / 255.0f'  				                                          1);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: effect.Light0.DiffuseColor = new Vector4 (gColorData [3 * i] / 255.0f'  				                                          gColorData [3 * i + 1] / 255.0f'  				                                          gColorData [3 * i + 2] / 255.0f'  				                                          1);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: effect.Light0.DiffuseColor = new Vector4 (gColorData [3 * i] / 255.0f'  				                                          gColorData [3 * i + 1] / 255.0f'  				                                          gColorData [3 * i + 2] / 255.0f'  				                                          1);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: effect.Light0.DiffuseColor = new Vector4 (gColorData [3 * i] / 255.0f'  				                                          gColorData [3 * i + 1] / 255.0f'  				                                          gColorData [3 * i + 2] / 255.0f'  				                                          1);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: effect.Light0.DiffuseColor = new Vector4 (gColorData [3 * i] / 255.0f'  				                                          gColorData [3 * i + 1] / 255.0f'  				                                          gColorData [3 * i + 2] / 255.0f'  				                                          1);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: effect.Light0.DiffuseColor = new Vector4 (gColorData [3 * i] / 255.0f'  				                                          gColorData [3 * i + 1] / 255.0f'  				                                          gColorData [3 * i + 2] / 255.0f'  				                                          1);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: effect.Light0.DiffuseColor = new Vector4 (gColorData [3 * i] / 255.0f'  				                                          gColorData [3 * i + 1] / 255.0f'  				                                          gColorData [3 * i + 2] / 255.0f'  				                                          1);
