Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,Connect,The length of the statement  "            this.MethodStatisticsGrid.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.MethodStatisticsGrid_SelectionChanged); " is 147.
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,Window_Loaded,The following statement contains a magic number: var bars = from r in requests                 group r by new                 {                     Duration = Math.Ceiling(r.Duration.TotalMilliseconds)'                     Operation = r.Operation                 }                 into groups                 from window in groups.Window(TimeSpan.FromSeconds(2)' _pb.Scheduler)                 from c in window.Count()                 select new HistogramBar                 {                     Operation = groups.Key.Operation'                     Duration = groups.Key.Duration'                     Count = c'                 };
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,Window_Loaded,The following statement contains a magic number: var histogram = bars.Buffer(TimeSpan.FromSeconds(2));
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,DrawHistogram,The following statement contains a magic number: r.Height = h.Count * canvas1.Height / 10;
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,DrawHistogram,The following statement contains a magic number: r.Width = canvas1.Width / 50;
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,DrawHistogram,The following statement contains a magic number: Canvas.SetLeft(r' canvas1.Width / 50 * Math.Floor(h.Duration));
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 4 "..\..\..\MainWindow.xaml"              ((Tx.Samples.WCFInterception.MainWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.MethodStatisticsGrid = ((System.Windows.Controls.ListView)(target));                            #line 8 "..\..\..\MainWindow.xaml"              this.MethodStatisticsGrid.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.MethodStatisticsGrid_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.canvas1 = ((System.Windows.Controls.Canvas)(target));              return;              case 4:              this.label1 = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.label2 = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.label3 = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.HistogramFilter = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 4 "..\..\..\MainWindow.xaml"              ((Tx.Samples.WCFInterception.MainWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.MethodStatisticsGrid = ((System.Windows.Controls.ListView)(target));                            #line 8 "..\..\..\MainWindow.xaml"              this.MethodStatisticsGrid.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.MethodStatisticsGrid_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.canvas1 = ((System.Windows.Controls.Canvas)(target));              return;              case 4:              this.label1 = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.label2 = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.label3 = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.HistogramFilter = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 4 "..\..\..\MainWindow.xaml"              ((Tx.Samples.WCFInterception.MainWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.MethodStatisticsGrid = ((System.Windows.Controls.ListView)(target));                            #line 8 "..\..\..\MainWindow.xaml"              this.MethodStatisticsGrid.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.MethodStatisticsGrid_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.canvas1 = ((System.Windows.Controls.Canvas)(target));              return;              case 4:              this.label1 = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.label2 = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.label3 = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.HistogramFilter = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 4 "..\..\..\MainWindow.xaml"              ((Tx.Samples.WCFInterception.MainWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.MethodStatisticsGrid = ((System.Windows.Controls.ListView)(target));                            #line 8 "..\..\..\MainWindow.xaml"              this.MethodStatisticsGrid.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.MethodStatisticsGrid_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.canvas1 = ((System.Windows.Controls.Canvas)(target));              return;              case 4:              this.label1 = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.label2 = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.label3 = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.HistogramFilter = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,Tx.Samples.WCFInterception,MainWindow,C:\research\architectureSmells\repos\MSOpenTech_Tx\Samples\WcfInterception\WcfDemoUI\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 4 "..\..\..\MainWindow.xaml"              ((Tx.Samples.WCFInterception.MainWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.MethodStatisticsGrid = ((System.Windows.Controls.ListView)(target));                            #line 8 "..\..\..\MainWindow.xaml"              this.MethodStatisticsGrid.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.MethodStatisticsGrid_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.canvas1 = ((System.Windows.Controls.Canvas)(target));              return;              case 4:              this.label1 = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.label2 = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.label3 = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.HistogramFilter = ((System.Windows.Controls.Label)(target));              return;              }
