Implementation smell,Namespace,Class,File,Method,Description
Long Method,Magento.RestApi.IntegrationTests,ProductTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductTests.cs,CanCreateAndUpdateFullProduct,The method has 160 lines of code.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,UnassignImageFromProduct,The length of the statement  "            var response2 = _productImageFixture.Client.UnassignImageFromProduct(_productImageFixture.productId' response.Result).Result; " is 125.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,UnAssignImageFromProductForStore,The length of the statement  "            var imagesForStore = _productImageFixture.Client.GetImagesForProductForStore(_productImageFixture.productId' _productImageFixture.storeId1).Result; " is 147.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,UnAssignImageFromProductForStore,The length of the statement  "            var imageInfo = _productImageFixture.Client.GetImageInfoForProduct(_productImageFixture.productId' imageId).Result.Result; " is 122.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,UnAssignImageFromProductForStore,The length of the statement  "            var response2 = _productImageFixture.Client.UpdateImageInfoForProduct(_productImageFixture.productId' imageId' imageInfo).Result; " is 129.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,UnAssignImageFromProductForStore,The length of the statement  "            var response3 = _productImageFixture.Client.UnAssignImageFromProductForStore(_productImageFixture.productId' _productImageFixture.storeId1' imageId).Result; " is 156.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,UnAssignImageFromProductForStore,The length of the statement  "            var updatedImagesForStore1 = _productImageFixture.Client.GetImagesForProductForStore(_productImageFixture.productId' _productImageFixture.storeId1).Result; " is 155.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,UnAssignImageFromProductForStore,The length of the statement  "            var imageInfo2 = _productImageFixture.Client.GetImageInfoForProduct(_productImageFixture.productId' imageId).Result.Result; " is 123.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,UnAssignImageFromProductForStore,The length of the statement  "            var imageInfo3 = _productImageFixture.Client.GetImageInfoForProductForStore(_productImageFixture.productId' _productImageFixture.storeId1' imageId).Result.Result; " is 162.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,GetAndUpdateImageInfoForProduct,The length of the statement  "            var response2 = _productImageFixture.Client.UpdateImageInfoForProduct(product.entity_id' imageInfo.id' imageInfo).Result; " is 121.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,GetAndUpdateImageInfoForProductForStore,The length of the statement  "            var response2 = _productImageFixture.Client.UpdateImageInfoForProduct(_productImageFixture.productId' imageId' imageInfo).Result; " is 129.
Long Statement,Magento.RestApi.IntegrationTests,ProductImageTests,C:\research\architectureSmells\repos\nickvane_Magento-RestApi\Magento.RestApi.IntegrationTests\ProductImageTests.cs,GetAndUpdateImageInfoForProductForStore,The length of the statement  "            var response3 = _productImageFixture.Client.UpdateImageInfoForProductForStore(_productImageFixture.productId' 2' imageId' imageInfo).Result; " is 140.
