Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SpriteMove,The method has 8 parameters. Parameters: netstate' spriteId' time' postion' rotation' speed' rotationRate' speedUpType
Long Statement,DogSE.Server.Core.Protocol.AutoCode,IGameAccess1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ServerLogicProtocol.cs,SetModule,The length of the statement  "                throw new NullReferenceException(string.Format("{0} not TradeAge.Server.Interface.Server.IGame"' m.GetType().FullName)); " is 120.
Long Statement,DogSE.Server.Core.Protocol.AutoCode,ILoginAccess2,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ServerLogicProtocol.cs,SetModule,The length of the statement  "                throw new NullReferenceException(string.Format("{0} not TradeAge.Server.Interface.Server.ILogin"' m.GetType().FullName)); " is 121.
Long Statement,DogSE.Server.Core.Protocol.AutoCode,ISceneAccess3,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ServerLogicProtocol.cs,SetModule,The length of the statement  "                throw new NullReferenceException(string.Format("{0} not TradeAge.Server.Interface.Server.IScene"' m.GetType().FullName)); " is 121.
Magic Number,DogSE.Server.Core.Protocol.AutoCode,IGameProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SyncServerTime,The following statement contains a magic number: var pw = PacketWriter.AcquireContent(2);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,IGameProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SyncServerTime,The following statement contains a magic number: PacketProfile packetProfile = PacketProfile.GetOutgoingProfile( 2 );
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ILoginProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,LoginServerResult,The following statement contains a magic number: var pw = PacketWriter.AcquireContent(1001);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ILoginProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,LoginServerResult,The following statement contains a magic number: PacketProfile packetProfile = PacketProfile.GetOutgoingProfile( 1001 );
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ILoginProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,CreatePlayerResult,The following statement contains a magic number: var pw = PacketWriter.AcquireContent(1003);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ILoginProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,CreatePlayerResult,The following statement contains a magic number: PacketProfile packetProfile = PacketProfile.GetOutgoingProfile( 1003 );
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ILoginProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SyncInitDataFinish,The following statement contains a magic number: var pw = PacketWriter.AcquireContent(1004);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ILoginProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SyncInitDataFinish,The following statement contains a magic number: PacketProfile packetProfile = PacketProfile.GetOutgoingProfile( 1004 );
