Implementation smell,Namespace,Class,File,Method,Description
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
Magic Number,WpfApplication2,MainViewModel,C:\repos\oxyplot_documentation-examples\HelloWorld\WpfApplication2\MainViewModel.cs,MainViewModel,The following statement contains a magic number: this.Points = new List<DataPoint> {  	new DataPoint (0' 4)'  	new DataPoint (10' 13)'  	new DataPoint (20' 15)'  	new DataPoint (30' 16)'  	new DataPoint (40' 12)'  	new DataPoint (50' 12)  };  
