Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,DeltaEngine.Editor.LevelEditor,LevelEditorCamera,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorCamera.cs,LevelEditorCamera,The method has 5 parameters.
Long Parameter List,DeltaEngine.Editor.LevelEditor,WaveHandler,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\WaveHandler.cs,AddWave,The method has 6 parameters.
Long Statement,DeltaEngine.Editor.LevelEditor,BackgroundImageHandler,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\BackgroundImageHandler.cs,SetBackgroundImage,The length of the statement  "		backgroundImage = new Sprite (new Material (ShaderFlags.Position2DColoredTextured' selectedImage)' new Rectangle (GetBackgroundPosition ()' GetBackgroundSize ())) { " is 164.
Long Statement,DeltaEngine.Editor.LevelEditor,BackgroundImageHandler,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\BackgroundImageHandler.cs,GetBackgroundPosition,The length of the statement  "	return new Vector2D (Vector2D.Half.X - GetBackgroundSize ().Width * PositionFactor' Vector2D.Half.Y - GetBackgroundSize ().Height * PositionFactor); " is 148.
Long Statement,DeltaEngine.Editor.LevelEditor,LevelEditorCommands,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorCommands.cs,GetPosition,The length of the statement  "		return new Vector2D ((float)(Math.Floor (position.Value.X) + Size.Half.Width)' (float)(Math.Floor (position.Value.Y) + Size.Half.Height)); " is 138.
Long Statement,DeltaEngine.Editor.LevelEditor,LevelEditorCommands,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorCommands.cs,IsPositionInGrid,The length of the statement  "	return !(position.X < -Level.Size.Width * 0.5f) && !(position.X > Level.Size.Width * 0.5f) && !(position.Y < -Level.Size.Height * 0.5f) && !(position.Y > Level.Size.Height * 0.5f); " is 180.
Long Statement,DeltaEngine.Editor.LevelEditor,LevelEditorCommands,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorCommands.cs,GetLevelObjectIndex,The length of the statement  "		return (int)(position.X + Level.Size.Width * 0.5f) + (int)(position.Y + Level.Size.Height * 0.5f) * (int)Level.Size.Width; " is 122.
Long Statement,DeltaEngine.Editor.LevelEditor,LevelObjectHandler,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelObjectHandler.cs,RecreateObjects,The length of the statement  "			ObjectList [i] = new ModelLevelObject (modelObject.Position' modelObject.SelectedLevelObject' modelObject.LevelObjectIndex); " is 124.
Long Statement,DeltaEngine.Editor.LevelEditor,ParticleLevelObject,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\ParticleLevelObject.cs,Create,The length of the statement  "	levelObject = new ParticleEmitter (ContentLoader.Load<ParticleEmitterData> (selectedLevelObject)' new Vector3D (position.X' position.Y' 0.2f)); " is 143.
Long Statement,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,GetDialogResultToClearLevel,The length of the statement  "	var dialogResult = (DialogResult)MessageBox.Show ("Changing the size clears the level. Do you want to continue?"' "Change the size"' MessageBoxButton.YesNo' MessageBoxImage.Question); " is 183.
Long Statement,DeltaEngine.Editor.LevelEditor,CameraSliders,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\CameraSliders.cs,DrawSliders,The length of the statement  "	horizontalSlider.DrawArea = Rectangle.FromCenter (ScreenSpace.Current.Viewport.Center.X' ScreenSpace.Current.Viewport.Bottom' ScreenSpace.Current.Viewport.Width' ScreenSpace.Current.Viewport.Height * ScaleFactor); " is 213.
Long Statement,DeltaEngine.Editor.LevelEditor,CameraSliders,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\CameraSliders.cs,DrawSliders,The length of the statement  "	verticalSlider.DrawArea = Rectangle.FromCenter (ScreenSpace.Current.Viewport.Right' ScreenSpace.Current.Viewport.Center.Y' ScreenSpace.Current.Viewport.Height' ScreenSpace.Current.Viewport.Height * ScaleFactor); " is 211.
Long Statement,DeltaEngine.Editor.LevelEditor,SpriteLevelObject,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\SpriteLevelObject.cs,Create,The length of the statement  "	levelObject = new Sprite (new Material (ShaderFlags.Position2DColoredTextured' image.DiffuseMap.Name)' new Rectangle (position' new Size (0.05f))); " is 147.
Magic Number,DeltaEngine.Editor.LevelEditor,BackgroundImageHandler,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\BackgroundImageHandler.cs,SetBackgroundImage,The following statement contains a magic number: if (ContentLoader.Exists (selectedImage' ContentType.Image))  	backgroundImage = new Sprite (new Material (ShaderFlags.Position2DColoredTextured' selectedImage)' new Rectangle (GetBackgroundPosition ()' GetBackgroundSize ())) {  		RenderLayer = -10  	};  
