Implementation smell,Namespace,Class,File,Method,Description
Complex Method,MeTagQA,OutDoc,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\AppBase.cs,LoadFile,Cyclomatic complexity of the method is 9
Complex Method,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,cBTagName_SelectedIndexChanged,Cyclomatic complexity of the method is 14
Long Statement,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,RefreshTagListView,The length of the statement  "			item.SubItems.Add (String.Format ("{0}({1}/{2})"' Path.GetFileNameWithoutExtension (tagInfo.TagDocName)' curDoc.DocType' curDoc.DocIntent)); " is 140.
Long Statement,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,btTagFilterResult_Click,The length of the statement  "		if (!((String.IsNullOrEmpty (cBTagName.Text) || tagName == cBTagName.Text) && (String.IsNullOrEmpty (cbTagValue.Text) || tagValue == cbTagValue.Text) && (String.IsNullOrEmpty (tBTagText.Text) || rBTextExact.Checked && tagText == tBTagText.Text || rBTextContain.Checked && tagText.Contains (tBTagText.Text) || rBTextStartWith.Checked && tagText.StartsWith (tBTagText.Text) || rBTextEndWith.Checked && tagText.EndsWith (tBTagText.Text)))) { " is 438.
Long Statement,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,btDocFilterResult_Click,The length of the statement  "		if (!((String.IsNullOrEmpty (cBDocType.Text) || cBDocType.Text == curDoc.DocType) && (String.IsNullOrEmpty (cBDocIntent.Text) || cBDocIntent.Text == curDoc.DocIntent) && (String.IsNullOrEmpty (tBDocPropName.Text) || curDoc.DocProperties [tBDocPropName.Text] == tBDocPropValue.Text)))//TODO: Modify that. " is 303.
Complex Conditional,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,btTagFilterResult_Click,The conditional expression  "!((String.IsNullOrEmpty (cBTagName.Text) || tagName == cBTagName.Text) && (String.IsNullOrEmpty (cbTagValue.Text) || tagValue == cbTagValue.Text) && (String.IsNullOrEmpty (tBTagText.Text) || rBTextExact.Checked && tagText == tBTagText.Text || rBTextContain.Checked && tagText.Contains (tBTagText.Text) || rBTextStartWith.Checked && tagText.StartsWith (tBTagText.Text) || rBTextEndWith.Checked && tagText.EndsWith (tBTagText.Text)))"  is complex.
Complex Conditional,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,btDocFilterResult_Click,The conditional expression  "!((String.IsNullOrEmpty (cBDocType.Text) || cBDocType.Text == curDoc.DocType) && (String.IsNullOrEmpty (cBDocIntent.Text) || cBDocIntent.Text == curDoc.DocIntent) && (String.IsNullOrEmpty (tBDocPropName.Text) || curDoc.DocProperties [tBDocPropName.Text] == tBDocPropValue.Text))"  is complex.
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
