Implementation smell,Namespace,Class,File,Method,Description
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
Magic Number,PlayerHeading,Program,C:\repos\sruon_ffxivlib\Demo Projects\PlayerHeading\Program.cs,Main,The following statement contains a magic number: while (true)                  {                      string sResult = "Heading: ";                      double degrees = player.Structure.Heading*(180/Math.PI) + 180;                      if (degrees > 360)                          degrees -= 360;                      else if (degrees < 0)                          degrees += 360;                      sResult += Math.Floor(degrees) + "° ";                        if (337 < degrees || 23 >= degrees)                          sResult += "(N)";                      else if (23 < degrees && 68 >= degrees)                          sResult += "(NW)";                      else if (68 < degrees && 113 >= degrees)                          sResult += "(W)";                      else if (113 < degrees && 158 >= degrees)                          sResult += "(SW)";                      else if (158 < degrees && 203 >= degrees)                          sResult += "(S)";                      else if (203 < degrees && 248 >= degrees)                          sResult += "(SE)";                      else if (248 < degrees && 293 >= degrees)                          sResult += "(E)";                      else if (293 < degrees && 337 >= degrees)                          sResult += "(NE)";                      Console.WriteLine("Heading: {0} Deg: {1}' X: {2}' Y: {3}"' player.Structure.Heading.ToString()'                                        sResult' player.Structure.X.ToString()' player.Structure.Y.ToString());                      player.Refresh();                      Thread.Sleep(1000);                  }
