Implementation smell,Namespace,Class,File,Method,Description
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCLINICAL_HISTORY_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCI_I22_CLINICAL_HISTORY_DETAIL>("CLINICAL_HISTORY_DETAILRepetitionsUsed"' "GetCLINICAL_HISTORY_DETAIL"); " is 134.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllROLE_CLINICAL_HISTORYRecords,The length of the statement  "            return message.GetAllRecords<CCI_I22_ROLE_CLINICAL_HISTORY>("ROLE_CLINICAL_HISTORYRepetitionsUsed"' "GetROLE_CLINICAL_HISTORY"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            object[] result = message.GetRecords("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 127.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCI_I22_MEDICATION_ADMINISTRATION_DETAIL>("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 161.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCLINICAL_HISTORY_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCM_I21_CLINICAL_HISTORY_DETAIL>("CLINICAL_HISTORY_DETAILRepetitionsUsed"' "GetCLINICAL_HISTORY_DETAIL"); " is 134.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllROLE_CLINICAL_HISTORYRecords,The length of the statement  "            return message.GetAllRecords<CCM_I21_ROLE_CLINICAL_HISTORY>("ROLE_CLINICAL_HISTORYRepetitionsUsed"' "GetROLE_CLINICAL_HISTORY"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            object[] result = message.GetRecords("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 127.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCM_I21_MEDICATION_ADMINISTRATION_DETAIL>("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 161.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCLINICAL_HISTORY_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCR_I16_CLINICAL_HISTORY_DETAIL>("CLINICAL_HISTORY_DETAILRepetitionsUsed"' "GetCLINICAL_HISTORY_DETAIL"); " is 134.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllROLE_CLINICAL_HISTORYRecords,The length of the statement  "            return message.GetAllRecords<CCR_I16_ROLE_CLINICAL_HISTORY>("ROLE_CLINICAL_HISTORYRepetitionsUsed"' "GetROLE_CLINICAL_HISTORY"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCLINICAL_ORDER_TIMINGRecords,The length of the statement  "            return message.GetAllRecords<CCR_I16_CLINICAL_ORDER_TIMING>("CLINICAL_ORDER_TIMINGRepetitionsUsed"' "GetCLINICAL_ORDER_TIMING"); " is 128.
