Implementation smell,Namespace,Class,File,Method,Description
Long Method,RavenCodeSamples.Consumer,Includes,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Includes.cs,SimplePaging,The method has 126 lines of code.
Long Method,RavenCodeSamples.Consumer,Patching,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Patching.cs,SimplePatching,The method has 145 lines of code.
Long Method,RavenCodeSamples.Server,Bundles,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Server\Bundles.cs,ForDocumenting,The method has 112 lines of code.
Long Statement,RavenCodeSamples.Server,Bundles,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Server\Bundles.cs,ForDocumenting,The length of the statement  "					session.Advanced.GetMetadataFor(parent)["Raven-Cascade-Delete-Documents"] = RavenJArray.FromObject(new[] { "childId1"' "childId2" }); " is 133.
Long Statement,RavenCodeSamples.Server,Bundles,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Server\Bundles.cs,ForDocumenting,The length of the statement  "					session.Advanced.GetMetadataFor(parent)["Raven-Cascade-Delete-Attachments"] = RavenJArray.FromObject(new[] { "attachmentId1"' " attachmentId2" }); " is 146.
Magic Number,RavenCodeSamples,CodeSampleBase,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\CodeSampleBase.cs,NewDocumentStore,The following statement contains a magic number: path = Path.Combine(path' "TestDb").Substring(6);
Magic Number,RavenCodeSamples,HomepageSlides,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\HomepageSlides.cs,Steps,The following statement contains a magic number: var blogPosts = from post in session.Query<BlogPost>()                                 where post.PublishedAt > new DateTime(2011' 8' 31)                                 select post;
Magic Number,RavenCodeSamples,HomepageSlides,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\HomepageSlides.cs,Steps,The following statement contains a magic number: var blogPosts = from post in session.Query<BlogPost>()                                 where post.PublishedAt > new DateTime(2011' 8' 31)                                 select post;
Magic Number,RavenCodeSamples,HomepageSlides,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\HomepageSlides.cs,Steps,The following statement contains a magic number: var blogPosts = from post in session.Query<BlogPost>()                                 where post.PublishedAt > new DateTime(2011' 8' 31)                                 select post;
Magic Number,RavenCodeSamples.Consumer,Attachments,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Attachments.cs,SimpleAttachments,The following statement contains a magic number: Stream data = new MemoryStream(new byte[] { 1' 2' 3 });
Magic Number,RavenCodeSamples.Consumer,Attachments,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Attachments.cs,SimpleAttachments,The following statement contains a magic number: Stream data = new MemoryStream(new byte[] { 1' 2' 3 });
Magic Number,RavenCodeSamples.Consumer,DynamicQueries,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\DynamicQueries.cs,LinqQuerying,The following statement contains a magic number: results = from company in session.Query<Company>()  					          where company.NumberOfHappyCustomers > 100  					          select company;
Magic Number,RavenCodeSamples.Consumer,DynamicQueries,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\DynamicQueries.cs,LinqQuerying,The following statement contains a magic number: results = from company in session.Query<Company>()  					          where company.Employees.Count > 10  					          select company;
Magic Number,RavenCodeSamples.Consumer,DynamicQueries,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\DynamicQueries.cs,LinqQuerying,The following statement contains a magic number: results = session.Query<Company>()  						.Where(x => x.NumberOfHappyCustomers > 100);
Magic Number,RavenCodeSamples.Consumer,DynamicQueries,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\DynamicQueries.cs,LinqQuerying,The following statement contains a magic number: results = session.Query<Company>()  						.Where(x => x.Employees.Count > 10);
Magic Number,RavenCodeSamples.Consumer,Faceted,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Faceted.cs,GetTermsSample,The following statement contains a magic number: var firstPage = session.Advanced.DatabaseCommands.GetTerms("indexName"' "MyProperty"' null' 128);
Magic Number,RavenCodeSamples.Consumer,Faceted,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Faceted.cs,GetTermsSample,The following statement contains a magic number: var secondPage = session.Advanced.DatabaseCommands.GetTerms("indexName"' "MyProperty"' firstPage.Last()' 128);
Magic Number,RavenCodeSamples.Consumer,Includes,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Includes.cs,SimplePaging,The following statement contains a magic number: var orders = session.Query<Order>()  						.Customize(x => x.Include<Order>(o => o.CustomerId))  						.Where(x => x.TotalPrice > 100)  						.ToList();
Magic Number,RavenCodeSamples.Consumer,Includes,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Includes.cs,SimplePaging,The following statement contains a magic number: var orders = session.Query<Order2>()  						.Customize(x => x.Include<Order2' Customer2>(o => o.Customer2Id))  						.Where(x => x.TotalPrice > 100)  						.ToList();
Magic Number,RavenCodeSamples.Consumer,Paging,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Paging.cs,SimplePaging,The following statement contains a magic number: var results = session.Query<BlogPost>()  						.Skip(20) // skip 2 pages worth of posts  						.Take(10) // Take posts in the page size  						.ToArray() // execute the query  						;
Magic Number,RavenCodeSamples.Consumer,Paging,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Paging.cs,SimplePaging,The following statement contains a magic number: var results = session.Query<BlogPost>()  						.Skip(20) // skip 2 pages worth of posts  						.Take(10) // Take posts in the page size  						.ToArray() // execute the query  						;
Magic Number,RavenCodeSamples.Consumer,Paging,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Paging.cs,SimplePaging,The following statement contains a magic number: var results = session.Query<BlogPost>()  						.Statistics(out stats)  						.Where(x => x.Category == "RavenDB")  						.Take(10)  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Paging,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Paging.cs,SimplePaging,The following statement contains a magic number: var results = session.Query<BlogPost>()  						.Statistics(out stats)  						.Skip(0 * 10) // retrieve results for the first page  						.Take(10) // page size is 10  						.Where(x => x.Category == "RavenDB")  						.Distinct()  						.ToArray();
