Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,Connect,The length of the statement  "            this.formatComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBox1_SelectionChanged); " is 130.
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,openButton_Click,The following statement contains a magic number: var writable = new WriteableBitmap(image.Size.Width' image.Size.Height' 96' 96' PixelFormats.Bgra32' null);
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,openButton_Click,The following statement contains a magic number: var writable = new WriteableBitmap(image.Size.Width' image.Size.Height' 96' 96' PixelFormats.Bgra32' null);
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,openButton_Click,The following statement contains a magic number: int stride = (image.Size.Width * 32 + 7) / 8;
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,openButton_Click,The following statement contains a magic number: int stride = (image.Size.Width * 32 + 7) / 8;
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,openButton_Click,The following statement contains a magic number: int stride = (image.Size.Width * 32 + 7) / 8;
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,openButton_Click,The following statement contains a magic number: data[i2] = data[i2+2];
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,openButton_Click,The following statement contains a magic number: data[i2+2] = c;
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,saveButton_Click,The following statement contains a magic number: data[i2] = data[i2+2];
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,saveButton_Click,The following statement contains a magic number: data[i2+2] = c;
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.openButton = ((System.Windows.Controls.Button)(target));                            #line 6 "..\..\..\MainWindow.xaml"              this.openButton.Click += new System.Windows.RoutedEventHandler(this.openButton_Click);                            #line default              #line hidden              return;              case 2:              this.formatComboBox = ((System.Windows.Controls.ComboBox)(target));                            #line 7 "..\..\..\MainWindow.xaml"              this.formatComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBox1_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.saveButton = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.saveButton.Click += new System.Windows.RoutedEventHandler(this.saveButton_Click);                            #line default              #line hidden              return;              case 4:              this.srcImage = ((System.Windows.Controls.Image)(target));              return;              case 5:              this.dstImage = ((System.Windows.Controls.Image)(target));              return;              case 6:              this.textBlock1 = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.textBlock2 = ((System.Windows.Controls.TextBlock)(target));              return;              }
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.openButton = ((System.Windows.Controls.Button)(target));                            #line 6 "..\..\..\MainWindow.xaml"              this.openButton.Click += new System.Windows.RoutedEventHandler(this.openButton_Click);                            #line default              #line hidden              return;              case 2:              this.formatComboBox = ((System.Windows.Controls.ComboBox)(target));                            #line 7 "..\..\..\MainWindow.xaml"              this.formatComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBox1_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.saveButton = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.saveButton.Click += new System.Windows.RoutedEventHandler(this.saveButton_Click);                            #line default              #line hidden              return;              case 4:              this.srcImage = ((System.Windows.Controls.Image)(target));              return;              case 5:              this.dstImage = ((System.Windows.Controls.Image)(target));              return;              case 6:              this.textBlock1 = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.textBlock2 = ((System.Windows.Controls.TextBlock)(target));              return;              }
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.openButton = ((System.Windows.Controls.Button)(target));                            #line 6 "..\..\..\MainWindow.xaml"              this.openButton.Click += new System.Windows.RoutedEventHandler(this.openButton_Click);                            #line default              #line hidden              return;              case 2:              this.formatComboBox = ((System.Windows.Controls.ComboBox)(target));                            #line 7 "..\..\..\MainWindow.xaml"              this.formatComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBox1_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.saveButton = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.saveButton.Click += new System.Windows.RoutedEventHandler(this.saveButton_Click);                            #line default              #line hidden              return;              case 4:              this.srcImage = ((System.Windows.Controls.Image)(target));              return;              case 5:              this.dstImage = ((System.Windows.Controls.Image)(target));              return;              case 6:              this.textBlock1 = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.textBlock2 = ((System.Windows.Controls.TextBlock)(target));              return;              }
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.openButton = ((System.Windows.Controls.Button)(target));                            #line 6 "..\..\..\MainWindow.xaml"              this.openButton.Click += new System.Windows.RoutedEventHandler(this.openButton_Click);                            #line default              #line hidden              return;              case 2:              this.formatComboBox = ((System.Windows.Controls.ComboBox)(target));                            #line 7 "..\..\..\MainWindow.xaml"              this.formatComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBox1_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.saveButton = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.saveButton.Click += new System.Windows.RoutedEventHandler(this.saveButton_Click);                            #line default              #line hidden              return;              case 4:              this.srcImage = ((System.Windows.Controls.Image)(target));              return;              case 5:              this.dstImage = ((System.Windows.Controls.Image)(target));              return;              case 6:              this.textBlock1 = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.textBlock2 = ((System.Windows.Controls.TextBlock)(target));              return;              }
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.openButton = ((System.Windows.Controls.Button)(target));                            #line 6 "..\..\..\MainWindow.xaml"              this.openButton.Click += new System.Windows.RoutedEventHandler(this.openButton_Click);                            #line default              #line hidden              return;              case 2:              this.formatComboBox = ((System.Windows.Controls.ComboBox)(target));                            #line 7 "..\..\..\MainWindow.xaml"              this.formatComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBox1_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.saveButton = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.saveButton.Click += new System.Windows.RoutedEventHandler(this.saveButton_Click);                            #line default              #line hidden              return;              case 4:              this.srcImage = ((System.Windows.Controls.Image)(target));              return;              case 5:              this.dstImage = ((System.Windows.Controls.Image)(target));              return;              case 6:              this.textBlock1 = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.textBlock2 = ((System.Windows.Controls.TextBlock)(target));              return;              }
Magic Number,ImageCompressor,MainWindow,C:\research\architectureSmells\repos\reignstudios_ReignSDK\Tools\ImageCompressor\ImageCompressor\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.openButton = ((System.Windows.Controls.Button)(target));                            #line 6 "..\..\..\MainWindow.xaml"              this.openButton.Click += new System.Windows.RoutedEventHandler(this.openButton_Click);                            #line default              #line hidden              return;              case 2:              this.formatComboBox = ((System.Windows.Controls.ComboBox)(target));                            #line 7 "..\..\..\MainWindow.xaml"              this.formatComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBox1_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.saveButton = ((System.Windows.Controls.Button)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.saveButton.Click += new System.Windows.RoutedEventHandler(this.saveButton_Click);                            #line default              #line hidden              return;              case 4:              this.srcImage = ((System.Windows.Controls.Image)(target));              return;              case 5:              this.dstImage = ((System.Windows.Controls.Image)(target));              return;              case 6:              this.textBlock1 = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.textBlock2 = ((System.Windows.Controls.TextBlock)(target));              return;              }
