Implementation smell,Namespace,Class,File,Method,Description
Long Method,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectFrontPage,The method has 119 lines of code.
Complex Method,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SetupIndexes,Cyclomatic complexity of the method is 9
Long Statement,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectAllLabs,The length of the statement  "            IAggregateFluent<BsonDocument> query = _buildCollection.Aggregate().Group(new BsonDocument("_id"' $"${nameof(Build.Lab)}")).Sort(new BsonDocument("_id"' 1)).Skip(skip); " is 168.
Long Statement,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SearchLabs,The length of the statement  "            List<Tuple<string>> result = await _buildCollection.Aggregate().Match(b => b.Lab != null).Match(b => b.Lab != "").Match(b => b.Lab.ToLower().Contains(search.ToLower())).Group(b => b.Lab.ToLower()' " is 196.
Long Statement,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectAllLabsCount,The length of the statement  "            IAggregateFluent<BsonDocument> query = _buildCollection.Aggregate().Group(new BsonDocument("_id"' new BsonDocument(nameof(Build.Lab)' $"${nameof(Build.Lab)}"))).Sort(new BsonDocument("_id"' 1)); " is 194.
Long Statement,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectLab,The length of the statement  "            IFindFluent<Build' Build> query = _buildCollection.Find(new BsonDocument(nameof(Build.LabUrl)' lab)).Sort(sortByCompileDate).Skip(skip); " is 136.
Long Statement,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectFamily,The length of the statement  "            IFindFluent<Build' Build> query = _buildCollection.Find(new BsonDocument(nameof(Build.Family)' family)).Sort(sortByOrder).Skip(skip); " is 133.
Long Statement,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectSource,The length of the statement  "            IFindFluent<Build' Build> query = _buildCollection.Find(new BsonDocument(nameof(Build.SourceType)' source)).Sort(sortByOrder).Skip(skip); " is 137.
Long Statement,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectAllYearsCount,The length of the statement  "            List<BsonDocument> query = await _buildCollection.Aggregate().Match(Builders<Build>.Filter.Ne(b => b.BuildTime' null)).Group(new BsonDocument("_id"' new BsonDocument("$year"' $"${nameof(Build.BuildTime)}"))).ToListAsync(); " is 222.
Long Statement,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectYear,The length of the statement  "                _buildCollection.Find(Builders<Build>.Filter.And(Builders<Build>.Filter.Gte(b => b.BuildTime' new DateTime(year' 1' 1' 0' 0' 0' DateTimeKind.Utc))' " is 147.
Long Statement,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectYear,The length of the statement  "                    Builders<Build>.Filter.Lte(b => b.BuildTime' new DateTime(year' 12' 31' 23' 59' 59' DateTimeKind.Utc)))).Sort(sortByCompileDate).Skip(skip); " is 140.
Magic Number,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectYear,The following statement contains a magic number: IFindFluent<Build' Build> query =                  _buildCollection.Find(Builders<Build>.Filter.And(Builders<Build>.Filter.Gte(b => b.BuildTime' new DateTime(year' 1' 1' 0' 0' 0' DateTimeKind.Utc))'                      Builders<Build>.Filter.Lte(b => b.BuildTime' new DateTime(year' 12' 31' 23' 59' 59' DateTimeKind.Utc)))).Sort(sortByCompileDate).Skip(skip);
Magic Number,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectYear,The following statement contains a magic number: IFindFluent<Build' Build> query =                  _buildCollection.Find(Builders<Build>.Filter.And(Builders<Build>.Filter.Gte(b => b.BuildTime' new DateTime(year' 1' 1' 0' 0' 0' DateTimeKind.Utc))'                      Builders<Build>.Filter.Lte(b => b.BuildTime' new DateTime(year' 12' 31' 23' 59' 59' DateTimeKind.Utc)))).Sort(sortByCompileDate).Skip(skip);
Magic Number,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectYear,The following statement contains a magic number: IFindFluent<Build' Build> query =                  _buildCollection.Find(Builders<Build>.Filter.And(Builders<Build>.Filter.Gte(b => b.BuildTime' new DateTime(year' 1' 1' 0' 0' 0' DateTimeKind.Utc))'                      Builders<Build>.Filter.Lte(b => b.BuildTime' new DateTime(year' 12' 31' 23' 59' 59' DateTimeKind.Utc)))).Sort(sortByCompileDate).Skip(skip);
Magic Number,BuildFeed.Model,BuildRepository,C:\repos\hounsell_BuildFeed\BuildFeed.Model\BuildRepository-Group.cs,SelectYear,The following statement contains a magic number: IFindFluent<Build' Build> query =                  _buildCollection.Find(Builders<Build>.Filter.And(Builders<Build>.Filter.Gte(b => b.BuildTime' new DateTime(year' 1' 1' 0' 0' 0' DateTimeKind.Utc))'                      Builders<Build>.Filter.Lte(b => b.BuildTime' new DateTime(year' 12' 31' 23' 59' 59' DateTimeKind.Utc)))).Sort(sortByCompileDate).Skip(skip);
