Implementation smell,Namespace,Class,File,Method,Description
Long Statement,IdentitySample,Startup,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\App_Start\Startup.Auth.cs,ConfigureAuth,The length of the statement  "            // Enables the application to temporarily store user information when they are verifying the second factor in the two-factor authentication process. " is 148.
Long Statement,IdentitySample,Startup,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\App_Start\Startup.Auth.cs,ConfigureAuth,The length of the statement  "            // Once you check this option' your second step of verification during the login process will be remembered on the device where you logged in from. " is 147.
Long Statement,IdentitySample.Models,ApplicationUserManager,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\App_Start\IdentityConfig.cs,Create,The length of the statement  "            // Register two factor authentication providers. This application uses Phone and Emails as a step of receiving a code for verifying the user " is 140.
Long Statement,IdentitySample.Models,ApplicationDbContext,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\IdentityModels.cs,Create,The length of the statement  "            var connString = System.Configuration.ConfigurationManager.ConnectionStrings["DefaultIdentityConnection"].ConnectionString; " is 123.
Long Statement,IdentitySample.Controllers,AccountController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\AccountController.cs,Login,The length of the statement  "            var result = await SignInManager.PasswordSignInAsync(model.Email' model.Password' model.RememberMe' shouldLockout: false); " is 122.
Long Statement,IdentitySample.Controllers,AccountController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\AccountController.cs,VerifyCode,The length of the statement  "                ViewBag.Status = "For DEMO purposes the current " + provider + " code is: " + await UserManager.GenerateTwoFactorTokenAsync(user.Id' provider); " is 143.
Long Statement,IdentitySample.Controllers,AccountController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\AccountController.cs,VerifyCode,The length of the statement  "            var result = await SignInManager.TwoFactorSignInAsync(model.Provider' model.Code' isPersistent: false' rememberBrowser: model.RememberBrowser); " is 143.
Long Statement,IdentitySample.Controllers,AccountController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\AccountController.cs,Register,The length of the statement  "                    var callbackUrl = Url.Action("ConfirmEmail"' "Account"' new { userId = user.Id' code = code }' protocol: Request.Url.Scheme); " is 125.
Long Statement,IdentitySample.Controllers,AccountController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\AccountController.cs,Register,The length of the statement  "                    await UserManager.SendEmailAsync(user.Id' "Confirm your account"' "Please confirm your account by clicking this link: <a href=\"" + callbackUrl + "\">link</a>"); " is 161.
Long Statement,IdentitySample.Controllers,AccountController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\AccountController.cs,ForgotPassword,The length of the statement  "                var callbackUrl = Url.Action("ResetPassword"' "Account"' new { userId = user.Id' code = code }' protocol: Request.Url.Scheme); " is 126.
Long Statement,IdentitySample.Controllers,AccountController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\AccountController.cs,ForgotPassword,The length of the statement  "                await UserManager.SendEmailAsync(user.Id' "Reset Password"' "Please reset your password by clicking here: <a href=\"" + callbackUrl + "\">link</a>"); " is 149.
Long Statement,IdentitySample.Controllers,ManageController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\ManageController.cs,RemoveLogin,The length of the statement  "            var result = await UserManager.RemoveLoginAsync(User.Identity.GetUserId()' new UserLoginInfo(loginProvider' providerKey)); " is 122.
Long Statement,IdentitySample.Controllers,ManageController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\ManageController.cs,ManageLogins,The length of the statement  "            var otherLogins = AuthenticationManager.GetExternalAuthenticationTypes().Where(auth => userLogins.All(ul => auth.AuthenticationType != ul.LoginProvider)).ToList(); " is 163.
Long Statement,IdentitySample.Controllers,ManageController,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Controllers\ManageController.cs,LinkLogin,The length of the statement  "            return new AccountController.ChallengeResult(provider' Url.Action("LinkLoginCallback"' "Manage")' User.Identity.GetUserId()); " is 125.
