Implementation smell,Namespace,Class,File,Method,Description
Complex Method,ACM.BL,BoBase,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\BoBase.cs,SetEntityState,Cyclomatic complexity of the method is 9
Long Parameter List,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,GroupAndSum,The method has 9 parameters.
Long Statement,ACM.BL,Customer,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\Customer.cs,SaveItem,The length of the statement  "	int retVal = Dac.ExecuteNonQuery (spName' Dac.Parameter ("CustomerId"' CustomerId' isOutput)' Dac.Parameter ("LastName"' LastName)' Dac.Parameter ("FirstName"' FirstName)' Dac.Parameter ("EmailAddress"' EmailAddress)' Dac.Parameter ("CustomerType"' CustomerType)); " is 264.
Long Statement,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,GroupAndSum,The length of the statement  "			InvoiceAmount = group.Select (a => a.InvoiceAmount.ToString ()).Where (a => !string.IsNullOrWhiteSpace (a)).Distinct ().OrderBy (a => a).Aggregate ((current' a) => current + "/" + a)' " is 183.
Long Statement,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The length of the statement  "	Logging.DebugMessage (string.Format ("{0} invoices retrieved for a total of {1}"' invoiceList.Count' invoiceList.Sum (inv => inv.TotalAmount))); " is 144.
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
Magic Number,ACM.BL,InvoiceRepository,C:\repos\DeborahK_VS-AcmeCustomerManagement\ACM.BL\InvoiceRepository.cs,Retrieve,The following statement contains a magic number: invoiceList = new List<Invoice> {  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 0M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 150'  		NumberOfItems = 8  	}'  	new Invoice () {  		CustomerId = 1'  		DiscountPercent = 10M'  		InvoiceDate = new DateTimeOffset (2010' 4' 29' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 2'  		InvoiceAmount = 215'  		NumberOfItems = 7  	}'  	new Invoice () {  		CustomerId = 2'  		DiscountPercent = 15M'  		InvoiceDate = new DateTimeOffset (2010' 4' 30' 0' 0' 0' new TimeSpan (-7' 0' 0))'  		InvoiceType = 1'  		InvoiceAmount = 50'  		NumberOfItems = 2  	}'  	new Invoice () {  		CustomerId = 3'  		DiscountPercent = 10M'  		InvoiceDate = new DateTime (2010' 4' 29)'  		InvoiceType = 2'  		InvoiceAmount = 550'  		NumberOfItems = 5  	}  };  
