Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DrawOperationTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DrawOperationTests.cs,Rectangle_Bounds_Are_Snapped_To_Pixels,The method has 11 parameters. Parameters: x' y' width' height' scaleX' scaleY' penThickness' expectedX' expectedY' expectedWidth' expectedHeight
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockRenderInterface,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,CreateFormattedText,The method has 7 parameters. Parameters: text' typeface' fontSize' textAlignment' wrapping' constraint' spans
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockRenderInterface,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,LoadBitmap,The method has 5 parameters. Parameters: format' data' size' dpi' stride
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockStreamGeometryContext,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,ArcTo,The method has 5 parameters. Parameters: point' size' rotationAngle' isLargeArc' sweepDirection
Long Statement,Avalonia.Visuals.UnitTests.Rendering,DeferredRendererTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\DeferredRendererTests.cs,Should_Draw_Transparent_Layer_With_Correct_Opacity,The length of the statement  "            context.Verify(x => x.DrawImage(borderLayer' 0.5' It.IsAny<Rect>()' It.IsAny<Rect>()' BitmapInterpolationMode.Default)); " is 120.
Long Statement,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests.cs,AddDirty_For_Child_Moved_Should_Invalidate_Previous_Bounds,The length of the statement  "            renderTarget.Setup(r => r.CreateDrawingContext(It.IsAny<IVisualBrushRenderer>())).Returns(Mock.Of<IDrawingContextImpl>()); " is 122.
Long Statement,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Not_Replace_Identical_DrawOperation,The length of the statement  "            var operation = RefCountable.Create(new RectangleNode(Matrix.Identity' Brushes.Red' null' new Rect(0' 0' 100' 100)' 0)); " is 120.
Long Statement,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Replace_Different_DrawOperation,The length of the statement  "            var operation = RefCountable.Create(new RectangleNode(Matrix.Identity' Brushes.Red' null' new Rect(0' 0' 100' 100)' 0)); " is 120.
Long Statement,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Trimmed_DrawOperations_Releases_Reference,The length of the statement  "            var operation = RefCountable.Create(new RectangleNode(Matrix.Identity' Brushes.Red' null' new Rect(0' 0' 100' 100)' 0)); " is 120.
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Parses_Single_Uniform_Radius,The following statement contains a magic number: Assert.Equal(new CornerRadius(3.4)' result);
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Parses_Top_Bottom,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2)' result);
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Parses_Top_Bottom,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2)' result);
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Parses_TopLeft_TopRight_BottomRight_BottomLeft,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2' 3.3' 4.4)' result);
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Parses_TopLeft_TopRight_BottomRight_BottomLeft,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2' 3.3' 4.4)' result);
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Parses_TopLeft_TopRight_BottomRight_BottomLeft,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2' 3.3' 4.4)' result);
