Implementation smell,Namespace,Class,File,Method,Description
Complex Method,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,Connect,Cyclomatic complexity of the method is 15
Long Statement,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,Connect,The length of the statement  "            this.scrollViewerXY.ScrollChanged += new System.Windows.Controls.ScrollChangedEventHandler(this.scrollViewerXY_ScrollChanged); " is 126.
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,Renderer,The following statement contains a magic number: m_sliceBmpXY = new WriteableBitmap(size.Width' size.Height' 96' 96' PixelFormats.Bgr32' null);
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,Renderer,The following statement contains a magic number: m_sliceBmpXY = new WriteableBitmap(size.Width' size.Height' 96' 96' PixelFormats.Bgr32' null);
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,Renderer,The following statement contains a magic number: m_sliceBmpXZ = new WriteableBitmap(size.Width' size.Depth' 96' 96' PixelFormats.Bgr32' null);
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,Renderer,The following statement contains a magic number: m_sliceBmpXZ = new WriteableBitmap(size.Width' size.Depth' 96' 96' PixelFormats.Bgr32' null);
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,Renderer,The following statement contains a magic number: m_sliceBmpYZ = new WriteableBitmap(size.Depth' size.Height' 96' 96' PixelFormats.Bgr32' null);
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,Renderer,The following statement contains a magic number: m_sliceBmpYZ = new WriteableBitmap(size.Depth' size.Height' 96' 96' PixelFormats.Bgr32' null);
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderTerrain,The following statement contains a magic number: int stride = m_sliceBmpXY.BackBufferStride / 4;
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderTerrain,The following statement contains a magic number: Parallel.For(0' h' y =>  				{  					for (int x = 0; x < w; ++x)  					{  						int z = terrain.GetSurfaceLevel(x' y);    						TileData td;    						while (true)  						{  							var p = new IntVector3(x' y' z);  							td = terrain.GetTileData(p);    							if (td.IsEmptyNoWater)  							{  								z--;  								continue;  							}    							if (this.ShowWaterEnabled && td.WaterLevel > 0)  							{  								var wl = terrain.GetWaterLevel(p + Direction.Up);  								if (wl > 0)  								{  									z++;  									continue;  								}  							}    							break;  						}    						int m = MyMath.Round(MyMath.LinearInterpolation(min' max' 100' 255' z));    						var cv = GetTileColor(td);    						int r = cv.X;  						int g = cv.Y;  						int b = cv.Z;    						r = r * m / 255;  						g = g * m / 255;  						b = b * m / 255;    						var ptr = pBackBuffer + y * stride + x;    						*ptr = (uint)((r << 16) | (g << 8) | (b << 0));  					}  				});
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderTerrain,The following statement contains a magic number: Parallel.For(0' h' y =>  				{  					for (int x = 0; x < w; ++x)  					{  						int z = terrain.GetSurfaceLevel(x' y);    						TileData td;    						while (true)  						{  							var p = new IntVector3(x' y' z);  							td = terrain.GetTileData(p);    							if (td.IsEmptyNoWater)  							{  								z--;  								continue;  							}    							if (this.ShowWaterEnabled && td.WaterLevel > 0)  							{  								var wl = terrain.GetWaterLevel(p + Direction.Up);  								if (wl > 0)  								{  									z++;  									continue;  								}  							}    							break;  						}    						int m = MyMath.Round(MyMath.LinearInterpolation(min' max' 100' 255' z));    						var cv = GetTileColor(td);    						int r = cv.X;  						int g = cv.Y;  						int b = cv.Z;    						r = r * m / 255;  						g = g * m / 255;  						b = b * m / 255;    						var ptr = pBackBuffer + y * stride + x;    						*ptr = (uint)((r << 16) | (g << 8) | (b << 0));  					}  				});
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderTerrain,The following statement contains a magic number: Parallel.For(0' h' y =>  				{  					for (int x = 0; x < w; ++x)  					{  						int z = terrain.GetSurfaceLevel(x' y);    						TileData td;    						while (true)  						{  							var p = new IntVector3(x' y' z);  							td = terrain.GetTileData(p);    							if (td.IsEmptyNoWater)  							{  								z--;  								continue;  							}    							if (this.ShowWaterEnabled && td.WaterLevel > 0)  							{  								var wl = terrain.GetWaterLevel(p + Direction.Up);  								if (wl > 0)  								{  									z++;  									continue;  								}  							}    							break;  						}    						int m = MyMath.Round(MyMath.LinearInterpolation(min' max' 100' 255' z));    						var cv = GetTileColor(td);    						int r = cv.X;  						int g = cv.Y;  						int b = cv.Z;    						r = r * m / 255;  						g = g * m / 255;  						b = b * m / 255;    						var ptr = pBackBuffer + y * stride + x;    						*ptr = (uint)((r << 16) | (g << 8) | (b << 0));  					}  				});
