Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The length of the statement  "				Color FillColor = useBlackBackgroundCheckbox.Checked ? new Color(255' 255' 255' (int)(alphaSlider.Value)) : new Color(0' 0' 0' (int)(alphaSlider.Value)); " is 153.
Long Statement,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The length of the statement  "				VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100); " is 130.
Long Statement,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The length of the statement  "				VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100); " is 130.
Long Statement,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The length of the statement  "                RGBA_Bytes FillColor = useBlackBackgroundCheckbox.Checked ? new RGBA_Bytes(255' 255' 255' (int)(alphaSlider.Value)) : new RGBA_Bytes(0' 0' 0' (int)(alphaSlider.Value)); " is 168.
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: alphaSlider = new Slider(new Vector2(5' 30)' 310' 0' 255);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: alphaSlider = new Slider(new Vector2(5' 30)' 310' 0' 255);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: alphaSlider = new Slider(new Vector2(5' 30)' 310' 0' 255);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: alphaSlider = new Slider(new Vector2(5' 30)' 310' 0' 255);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: alphaSlider.Value = 255;
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: alphaSlider.View.TextColor = new Color(127' 127' 127);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: alphaSlider.View.TextColor = new Color(127' 127' 127);
