Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Rhino.Etl.Dsl.Macros,HashJoinMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\HashJoinMacro.cs,Expand,Cyclomatic complexity of the method is 10
Complex Method,Rhino.Etl.Dsl.Macros,JoinSectionMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\JoinSectionMacro.cs,DoExpand,Cyclomatic complexity of the method is 8
Long Statement,Rhino.Etl.Dsl.Macros,GroupByMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\GroupByMacro.cs,DoExpand,The length of the statement  "                    Errors.Add(CompilerErrorFactory.CustomError(macro.LexicalInfo' "GroupBy arguments must be refernce expressions. Example: groupBy name' surname")); " is 146.
Long Statement,Rhino.Etl.Dsl.Macros,HashJoinMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\HashJoinMacro.cs,Expand,The length of the statement  "                Errors.Add(CompilerErrorFactory.CustomError(macro.LexicalInfo' "Number of key columns must be the same for both sides of the join")); " is 133.
Long Statement,Rhino.Etl.Dsl.Macros,HashJoinMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\HashJoinMacro.cs,SetupJoinMethodDefinition,The length of the statement  "            method.Body.Add(new MethodInvocationExpression(new MemberReferenceExpression(new ReferenceExpression("join")' "Left")' leftKeys.OfType<Expression>().ToArray())); " is 161.
Long Statement,Rhino.Etl.Dsl.Macros,HashJoinMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\HashJoinMacro.cs,SetupJoinMethodDefinition,The length of the statement  "            method.Body.Add(new MethodInvocationExpression(new MemberReferenceExpression(new ReferenceExpression("join")' "Right")' rightKeys.OfType<Expression>().ToArray())); " is 163.
Long Statement,Rhino.Etl.Dsl.Macros,JoinSectionMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\JoinSectionMacro.cs,DoExpand,The length of the statement  "                Errors.Add(CompilerErrorFactory.CustomError(macro.LexicalInfo' "Join " + name + " section must contain at least a single expression statement")); " is 145.
Long Statement,Rhino.Etl.Dsl.Macros,JoinSectionMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\JoinSectionMacro.cs,DoExpand,The length of the statement  "                Errors.Add(CompilerErrorFactory.CustomError(macro.LexicalInfo' "Join " + name + " section must contain at least one key column")); " is 130.
Long Statement,Rhino.Etl.Dsl.Macros,JoinSectionMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\JoinSectionMacro.cs,DoExpand,The length of the statement  "                        Errors.Add(CompilerErrorFactory.CustomError(macro.LexicalInfo'"Join " + name +" section arguments must be reference expressions. Example: " + name + " name' surname")); " is 168.
Long Statement,Rhino.Etl.Dsl.Macros,JoinSectionMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\JoinSectionMacro.cs,DoExpand,The length of the statement  "                    Errors.Add(CompilerErrorFactory.CustomError(macro.LexicalInfo' "Join " + name + " section can only contain expressions")); " is 122.
Long Statement,Rhino.Etl.Dsl.Macros,OnMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\OnMacro.cs,DoExpand,The length of the statement  "            matchJoinConditionMethod.Parameters.Add(new ParameterDeclaration("left"' new SimpleTypeReference(typeof(Row).FullName))); " is 121.
Long Statement,Rhino.Etl.Dsl.Macros,OnMacro,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\Macros\OnMacro.cs,DoExpand,The length of the statement  "            matchJoinConditionMethod.Parameters.Add(new ParameterDeclaration("right"' new SimpleTypeReference(typeof(Row).FullName))); " is 122.
Magic Number,Rhino.Etl.Dsl,EtlDslEngine,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\EtlDslEngine.cs,CustomizeCompiler,The following statement contains a magic number: pipeline.Insert(2' new UseModuleNameAsNamespaceIfMissing());
Magic Number,Rhino.Etl.Dsl,EtlDslEngine,C:\repos\ayende_rhino-etl\Rhino.Etl.Dsl\EtlDslEngine.cs,CustomizeCompiler,The following statement contains a magic number: pipeline.Insert(3' new AutoImportCompilerStep(_namespaces));
