Implementation smell,Namespace,Class,File,Method,Description
Long Statement,FreeDB.Playground,GzipFileParser,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\GzipFileParser.cs,Start,The length of the statement  "				Console.Write("\r{0'10:#'#} sec r-{1:#'#} w-{2:#'#} e-{3:#'#} l-{4:#'#}"' sp.Elapsed.TotalSeconds' _reads' _written' _entriesWrittern' _reads - _written); " is 154.
Long Statement,FreeDB.Playground,Program,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\Program.cs,Main,The length of the statement  "			//var x = new XmcdFileParser(@"C:\Users\Ayende\Downloads\freedb-complete-20130901.tar.bz2"' new JsonFileDisksDestination()); " is 124.
Long Statement,FreeDB.Playground,XmcdFileParser,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\XmcdFileParser.cs,Start,The length of the statement  "				Console.Write("\r{0'10:#'#} sec reads: {1'10:#'#} parsed: {2'10:#'#} written: {3'10:#'#}"' sp.Elapsed.TotalSeconds' reads' " is 122.
Long Statement,XmcdParser,Parser,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\Parser.cs,Add,The length of the statement  "			var key = new Regex(regex' RegexOptions.Compiled | RegexOptions.IgnoreCase | RegexOptions.IgnorePatternWhitespace|RegexOptions.Multiline); " is 138.
Magic Number,FreeDB.Playground,DateTimeSeries,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\DateTimeSeries.cs,AddRange,The following statement contains a magic number: var buffer = new byte[16];
Magic Number,FreeDB.Playground,DateTimeSeries,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\DateTimeSeries.cs,AddRange,The following statement contains a magic number: EndianBitConverter.Big.CopyBytes(_last++' buffer' 8);
Magic Number,FreeDB.Playground,DateTimeSeries,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\DateTimeSeries.cs,ScanRange,The following statement contains a magic number: var startBuffer = new byte[16];
Magic Number,FreeDB.Playground,DateTimeSeries,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\DateTimeSeries.cs,ScanRange,The following statement contains a magic number: var endBuffer = new byte[16];
Magic Number,FreeDB.Playground,DateTimeSeries,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\DateTimeSeries.cs,ScanRange,The following statement contains a magic number: EndianBitConverter.Big.CopyBytes(long.MaxValue' endBuffer' 8);
Magic Number,FreeDB.Playground,GzipFileParser,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\GzipFileParser.cs,Start,The following statement contains a magic number: var tasks = new[] { reader' writer' Task.Delay(1000) };
Magic Number,FreeDB.Playground,VoronDisksDestination,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\VoronDisksDestination.cs,Accept,The following statement contains a magic number: counter%1000 == 0
Magic Number,FreeDB.Playground,VoronEntriesDestination,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\VoronEntriesDestination.cs,Accept,The following statement contains a magic number: counter % 500 == 0
Magic Number,FreeDB.Playground,XmcdFileParser,D:\research\architectureSmells\repos\ayende_raven.voron\Performance.Comparison\FreeDB.Playground\XmcdFileParser.cs,Start,The following statement contains a magic number: var tasks = new[] { reader' parser' processer' Task.Delay(1000) };
