Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The method has 6 parameters. Parameters: cr' prev' next' width' height' progress
Long Statement,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The length of the statement  "				CairoHelper.SetSourcePixbuf (cr' prev' .5 * ((double)width/scale - prev.Width)' .5 * ((double)height/scale - prev.Height)); " is 123.
Long Statement,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The length of the statement  "				CairoHelper.SetSourcePixbuf (cr' next' .5 * ((double)width/scale - next.Width)' .5 * ((double)height/scale - next.Height)); " is 123.
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (prev != null) {  				double scale = Math.Min ((double)width/(double)prev.Width' (double)height/(double)prev.Height);  				cr.Save ();  				cr.Translate (-progress * width' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*prev.Height)' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*prev.Width)' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' prev' .5 * ((double)width/scale - prev.Width)' .5 * ((double)height/scale - prev.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (prev != null) {  				double scale = Math.Min ((double)width/(double)prev.Width' (double)height/(double)prev.Height);  				cr.Save ();  				cr.Translate (-progress * width' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*prev.Height)' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*prev.Width)' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' prev' .5 * ((double)width/scale - prev.Width)' .5 * ((double)height/scale - prev.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (prev != null) {  				double scale = Math.Min ((double)width/(double)prev.Width' (double)height/(double)prev.Height);  				cr.Save ();  				cr.Translate (-progress * width' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*prev.Height)' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*prev.Width)' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' prev' .5 * ((double)width/scale - prev.Width)' .5 * ((double)height/scale - prev.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (prev != null) {  				double scale = Math.Min ((double)width/(double)prev.Width' (double)height/(double)prev.Height);  				cr.Save ();  				cr.Translate (-progress * width' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*prev.Height)' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*prev.Width)' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' prev' .5 * ((double)width/scale - prev.Width)' .5 * ((double)height/scale - prev.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (prev != null) {  				double scale = Math.Min ((double)width/(double)prev.Width' (double)height/(double)prev.Height);  				cr.Save ();  				cr.Translate (-progress * width' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*prev.Height)' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*prev.Width)' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' prev' .5 * ((double)width/scale - prev.Width)' .5 * ((double)height/scale - prev.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (prev != null) {  				double scale = Math.Min ((double)width/(double)prev.Width' (double)height/(double)prev.Height);  				cr.Save ();  				cr.Translate (-progress * width' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*prev.Height)' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*prev.Width)' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' prev' .5 * ((double)width/scale - prev.Width)' .5 * ((double)height/scale - prev.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (prev != null) {  				double scale = Math.Min ((double)width/(double)prev.Width' (double)height/(double)prev.Height);  				cr.Save ();  				cr.Translate (-progress * width' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*prev.Height)' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*prev.Width)' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' prev' .5 * ((double)width/scale - prev.Width)' .5 * ((double)height/scale - prev.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (prev != null) {  				double scale = Math.Min ((double)width/(double)prev.Width' (double)height/(double)prev.Height);  				cr.Save ();  				cr.Translate (-progress * width' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*prev.Height)' width' .5 * (height - scale*prev.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*prev.Width)' 0' .5 * (width - scale*prev.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' prev' .5 * ((double)width/scale - prev.Width)' .5 * ((double)height/scale - prev.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (next != null) {  				double scale = Math.Min ((double)width/(double)next.Width' (double)height/(double)next.Height);  				cr.Save ();  				cr.Translate (width * (1.0 - progress)' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*next.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*next.Height)' width' .5 * (height - scale*next.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*next.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*next.Width)' 0' .5 * (width - scale*next.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' next' .5 * ((double)width/scale - next.Width)' .5 * ((double)height/scale - next.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (next != null) {  				double scale = Math.Min ((double)width/(double)next.Width' (double)height/(double)next.Height);  				cr.Save ();  				cr.Translate (width * (1.0 - progress)' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*next.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*next.Height)' width' .5 * (height - scale*next.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*next.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*next.Width)' 0' .5 * (width - scale*next.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' next' .5 * ((double)width/scale - next.Width)' .5 * ((double)height/scale - next.Height));  				cr.Fill ();  				cr.Restore ();  			}
Magic Number,FSpot.Addins.Transitions,Push,C:\repos\mono_f-spot\src\Extensions\Transitions\FSpot.Transitions.Push\FSpot.Addins.Transitions\Push.cs,Draw,The following statement contains a magic number: if (next != null) {  				double scale = Math.Min ((double)width/(double)next.Width' (double)height/(double)next.Height);  				cr.Save ();  				cr.Translate (width * (1.0 - progress)' 0);    				cr.Rectangle (0' 0' width' .5 * (height - scale*next.Height));  				cr.Fill ();    				cr.Rectangle (0' height - .5 * (height - scale*next.Height)' width' .5 * (height - scale*next.Height));  				cr.Fill ();    				cr.Rectangle (0' 0' .5 * (width - scale*next.Width)' height);  				cr.Fill ();    				cr.Rectangle (width - .5 * (width - scale*next.Width)' 0' .5 * (width - scale*next.Width)' height);  				cr.Fill ();    				cr.Rectangle (0' 0' width' height);  				cr.Scale (scale' scale);  				CairoHelper.SetSourcePixbuf (cr' next' .5 * ((double)width/scale - next.Width)' .5 * ((double)height/scale - next.Height));  				cr.Fill ();  				cr.Restore ();  			}
