Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
FileTileProvider,1,2,0,0,2,16,3,0,0,0,2,3
TileSource,2,1,2,0,1,20,1,0,0,0,2,4
TileInfo,2,0,3,0,0,25,0,0,0,0,1,7
TileIndex,3,6,3,0,6,76,7,0,0,0.33,0,5
TileRange,4,5,4,0,5,69,5,0,0,0.6,0,1
TileSchema,8,7,8,0,4,170,12,0,0,0.91,5,5
Extent,4,7,9,0,7,108,13,0,0,0.71,0,9
Utilities,0,2,0,0,2,45,9,0,0,0,0,3
ITileCache,0,3,0,0,0,6,3,2,0,0,1,1
MemoryCache,5,9,1,0,4,123,21,0,1,0.6,1,3
FileCache,3,7,0,0,4,61,8,0,1,0.76,2,2
FetchOnThread,3,2,0,0,2,27,3,0,0,0.17,3,1
FetchTileCompletedEventArgs,4,1,0,4,1,14,1,0,0,1,1,2
FetchStrategy,1,2,0,0,1,51,6,0,0,0,4,1
TileFetcher,16,9,0,0,3,161,25,0,0,0.74,10,1
DataChangedEventArgs,3,1,0,3,1,12,1,0,0,1,1,3
ITileFactory,0,1,0,0,0,4,1,1,0,0,0,2
Marker,2,1,9,0,1,53,1,0,0,0,0,3
TileLayer,5,5,3,0,3,70,7,0,0,0.84,8,0
Utilities,0,1,0,0,1,18,1,0,0,0,0,0
ZoomHelper,0,4,0,0,4,56,9,0,0,0,0,1
MarkerControl2,5,4,3,5,1,75,5,0,1,0,0,1
IMarkerControl,0,0,2,0,0,9,0,2,0,0,0,1
ITransform,0,2,2,0,0,11,2,1,0,0,0,2
MapControl,17,30,7,1,6,416,61,0,0,0.97,6,0
MapTransform,5,3,5,0,2,69,3,0,1,0.4,1,2
MapTransformHelper,0,2,0,0,2,17,2,0,0,0,3,2
MarkerControl,6,4,3,5,1,78,4,0,1,0.5,0,1
Renderer,2,11,2,0,3,189,35,0,0,0.91,11,2
TileFactory,0,1,0,0,1,9,1,0,1,0,0,0
TileLayer,0,1,0,0,1,6,1,0,0,0,1,2
