Implementation smell,Namespace,Class,File,Method,Description
Long Method,AvaTax_Calc_DirectSOAP_csharp,AdjustTaxTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\AdjustTaxTest.cs,Test,The method has 143 lines of code.
Long Method,AvaTax_Calc_DirectSOAP_csharp,GetTaxTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\GetTaxTest.cs,Test,The method has 138 lines of code.
Complex Method,AvaTax_Calc_DirectSOAP_csharp,GetTaxHistoryTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\GetTaxHistoryTest.cs,Test,Cyclomatic complexity of the method is 8
Long Statement,AvaTax_Calc_DirectSOAP_csharp,AdjustTaxTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\AdjustTaxTest.cs,Test,The length of the statement  "			Console.WriteLine ("Document Code: {0}\nTotal Tax: {1}\nDocument Version: {2}"' getTaxRequest.DocCode' adjustTaxResult.TotalTax.ToString ()' adjustTaxResult.Version.ToString ()); " is 178.
Long Statement,AvaTax_Calc_DirectSOAP_csharp,GetTaxHistoryTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\GetTaxHistoryTest.cs,Test,The length of the statement  "			Console.WriteLine ("Document Code: {0}\nTotal Tax: {1}"' getTaxHistoryRequest.DocCode' getTaxHistoryResult.GetTaxResult.TotalTax.ToString ()); " is 142.
Long Statement,AvaTax_Calc_DirectSOAP_csharp,ValidateAddressTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\ValidateAddressTest.cs,Test,The length of the statement  "			Console.WriteLine ("{0}\n{1}\n{2}\n{3}' {4} {5}\nCountry: {6}"' validatedAddress.Line1' validatedAddress.Line2' validatedAddress.Line3' validatedAddress.City' validatedAddress.Region' validatedAddress.PostalCode' validatedAddress.Country); " is 239.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnValidateOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnValidateOperationCompleted,The length of the statement  "		this.ValidateCompleted (this' new ValidateCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 145.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnPingOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnPingOperationCompleted,The length of the statement  "		this.PingCompleted (this' new PingCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 137.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnIsAuthorizedOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnIsAuthorizedOperationCompleted,The length of the statement  "		this.IsAuthorizedCompleted (this' new IsAuthorizedCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 153.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,IsLocalFileSystemWebService,The length of the statement  "	if (((wsUri.Port >= 1024) && (string.Compare (wsUri.Host' "localHost"' System.StringComparison.OrdinalIgnoreCase) == 0))) { " is 123.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnGetTaxOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnGetTaxOperationCompleted,The length of the statement  "		this.GetTaxCompleted (this' new GetTaxCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 141.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,GetTaxHistoryAsync,The length of the statement  "		this.GetTaxHistoryOperationCompleted = new System.Threading.SendOrPostCallback (this.OnGetTaxHistoryOperationCompleted); " is 120.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnGetTaxHistoryOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnGetTaxHistoryOperationCompleted,The length of the statement  "		this.GetTaxHistoryCompleted (this' new GetTaxHistoryCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 155.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnPostTaxOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnPostTaxOperationCompleted,The length of the statement  "		this.PostTaxCompleted (this' new PostTaxCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 143.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnCommitTaxOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnCommitTaxOperationCompleted,The length of the statement  "		this.CommitTaxCompleted (this' new CommitTaxCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 147.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnCancelTaxOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnCancelTaxOperationCompleted,The length of the statement  "		this.CancelTaxCompleted (this' new CancelTaxCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 147.
