Implementation smell,Namespace,Class,File,Method,Description
Complex Method,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ConvertSegmentToBinary,Cyclomatic complexity of the method is 12
Long Statement,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ConvertSegmentToBinary,The length of the statement  "                    result[3] = (byte)(Array.IndexOf(Alphabet' s[4]) << 7 | Array.IndexOf(Alphabet' s[5]) << 2 | Array.IndexOf(Alphabet' s[6]) >> 3); " is 129.
Long Statement,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ConvertSegmentToBinary,The length of the statement  "                    result[1] = (byte)(Array.IndexOf(Alphabet' s[1]) << 6 | Array.IndexOf(Alphabet' s[2]) << 1 | Array.IndexOf(Alphabet' s[3]) >> 4); " is 129.
Magic Number,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ToBase32,The following statement contains a magic number: var fullSegments = data.Length / 5;
Magic Number,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ToBase32,The following statement contains a magic number: var finalSegmentLength = data.Length % 5;
Magic Number,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ToBase32,The following statement contains a magic number: var segment = data.Skip(i * 5).Take(5).ToArray();
Magic Number,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ToBase32,The following statement contains a magic number: var segment = data.Skip(i * 5).Take(5).ToArray();
Magic Number,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ToBinary,The following statement contains a magic number: var fullSegments = base32.Length / 8;
Magic Number,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ToBinary,The following statement contains a magic number: var finalSegmentLength = base32.Length % 8;
Magic Number,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ToBinary,The following statement contains a magic number: var segment = base32.Skip(i * 8).Take(8).ToArray();
Magic Number,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ToBinary,The following statement contains a magic number: var segment = base32.Skip(i * 8).Take(8).ToArray();
Magic Number,OathNet,Base32,D:\research\architectureSmells\repos\jennings_OATH.Net\OATH.Net\Base32.cs,ConvertSegmentToBinary,The following statement contains a magic number: segment.Length > 8
