Implementation smell,Namespace,Class,File,Method,Description
Long Method,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The method has 186 lines of code.
Long Method,Orchard.Fields.Specs,DateTimeFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\DateTime.feature.cs,CreatingAndUsingDateFields,The method has 321 lines of code.
Long Method,Orchard.Fields.Specs,DateTimeFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\DateTime.feature.cs,CreatingAndUsingDateTimeFieldsInAnotherCulture,The method has 134 lines of code.
Long Method,Orchard.Fields.Specs,EnumerationFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Enumeration.feature.cs,CreatingAndUsingEnumerationFields,The method has 229 lines of code.
Long Method,Orchard.Fields.Specs,InputFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Input.feature.cs,CreatingAndUsingInputFields,The method has 259 lines of code.
Long Method,Orchard.Fields.Specs,LinkFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Link.feature.cs,CreatingAndUsingLinkFields,The method has 156 lines of code.
Long Method,Orchard.Fields.Specs,MediaPickerFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Media.feature.cs,CreatingAndUsingMediaFields,The method has 175 lines of code.
Long Method,Orchard.Fields.Specs,NumericFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Numeric.feature.cs,CreatingAndUsingNumericFields,The method has 225 lines of code.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,FeatureSetup,The length of the statement  "	TechTalk.SpecFlow.FeatureInfo featureInfo = new TechTalk.SpecFlow.FeatureInfo (new System.Globalization.CultureInfo ("en-US")' "Boolean Field"' "  In order to add boolean content to my types\r\nAs an administrator\r\n  I want to c" + "reate' edit and publish boolean fields"' ProgrammingLanguage.CSharp' ((string[])(null))); " is 324.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo ("Creating and using Boolean fields"' ((string[])(null))); " is 139.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.Then ("I should see \"<a[^>]*>.*?Create new type</a>\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "Then "); " is 130.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.When ("I go to \"Admin/ContentTypes/Create\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "When "); " is 120.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.When ("I go to \"Admin/ContentTypes/Edit/Event\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "When "); " is 124.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.Then ("I should see \"The \\\"Active\\\" field has been added.\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "Then "); " is 140.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.When ("I go to \"Admin/Contents/Create/Event\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "When "); " is 122.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.Then ("I should see \"Your Event has been created.\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "Then "); " is 128.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.When ("I go to \"Admin/ContentTypes/Edit/Event\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "When "); " is 124.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.And ("I go to \"Admin/Contents/Create/Event\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "And "); " is 120.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.Then ("I should see \"Check if the event is active\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "Then "); " is 128.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.When ("I go to \"Admin/ContentTypes/Edit/Event\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "When "); " is 124.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.And ("I go to \"Admin/Contents/Create/Event\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "And "); " is 120.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\gragarwa_orchard\src\Orchard.Azure\Orchard.Azure.Web\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	testRunner.Then ("I should see \"checked=\\\"checked\\\"\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "Then "); " is 123.
