Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The method has 20 parameters.
Long Statement,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The length of the statement  "	}).PrimaryKey (t => t.Id).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).Index (t => t.ApplicationUser_Id); " is 122.
Long Statement,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The length of the statement  "	}).PrimaryKey (t => t.UserId).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).Index (t => t.ApplicationUser_Id); " is 126.
Long Statement,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The length of the statement  "	}).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).ForeignKey ("dbo.IdentityRole"' t => t.IdentityRole_Id).Index (t => t.ApplicationUser_Id).Index (t => t.IdentityRole_Id); " is 186.
Magic Number,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The following statement contains a magic number: CreateTable ("dbo.ApplicationUser"' c => new {  	Id = c.String (nullable: false' maxLength: 128)'  	Email = c.String ()'  	EmailConfirmed = c.Boolean (nullable: false)'  	PasswordHash = c.String ()'  	SecurityStamp = c.String ()'  	PhoneNumber = c.String ()'  	PhoneNumberConfirmed = c.Boolean (nullable: false)'  	TwoFactorEnabled = c.Boolean (nullable: false)'  	LockoutEndDateUtc = c.DateTime ()'  	LockoutEnabled = c.Boolean (nullable: false)'  	AccessFailedCount = c.Int (nullable: false)'  	UserName = c.String ()  }).PrimaryKey (t => t.Id);  
Magic Number,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The following statement contains a magic number: CreateTable ("dbo.IdentityUserClaim"' c => new {  	Id = c.Int (nullable: false' identity: true)'  	UserId = c.String ()'  	ClaimType = c.String ()'  	ClaimValue = c.String ()'  	ApplicationUser_Id = c.String (maxLength: 128)  }).PrimaryKey (t => t.Id).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).Index (t => t.ApplicationUser_Id);  
Magic Number,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The following statement contains a magic number: CreateTable ("dbo.IdentityUserLogin"' c => new {  	UserId = c.String (nullable: false' maxLength: 128)'  	LoginProvider = c.String ()'  	ProviderKey = c.String ()'  	ApplicationUser_Id = c.String (maxLength: 128)  }).PrimaryKey (t => t.UserId).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).Index (t => t.ApplicationUser_Id);  
Magic Number,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The following statement contains a magic number: CreateTable ("dbo.IdentityUserLogin"' c => new {  	UserId = c.String (nullable: false' maxLength: 128)'  	LoginProvider = c.String ()'  	ProviderKey = c.String ()'  	ApplicationUser_Id = c.String (maxLength: 128)  }).PrimaryKey (t => t.UserId).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).Index (t => t.ApplicationUser_Id);  
Magic Number,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The following statement contains a magic number: CreateTable ("dbo.IdentityUserRole"' c => new {  	RoleId = c.String (nullable: false' maxLength: 128)'  	UserId = c.String (nullable: false' maxLength: 128)'  	ApplicationUser_Id = c.String (maxLength: 128)'  	IdentityRole_Id = c.String (maxLength: 128)  }).PrimaryKey (t => new {  	t.RoleId'  	t.UserId  }).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).ForeignKey ("dbo.IdentityRole"' t => t.IdentityRole_Id).Index (t => t.ApplicationUser_Id).Index (t => t.IdentityRole_Id);  
Magic Number,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The following statement contains a magic number: CreateTable ("dbo.IdentityUserRole"' c => new {  	RoleId = c.String (nullable: false' maxLength: 128)'  	UserId = c.String (nullable: false' maxLength: 128)'  	ApplicationUser_Id = c.String (maxLength: 128)'  	IdentityRole_Id = c.String (maxLength: 128)  }).PrimaryKey (t => new {  	t.RoleId'  	t.UserId  }).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).ForeignKey ("dbo.IdentityRole"' t => t.IdentityRole_Id).Index (t => t.ApplicationUser_Id).Index (t => t.IdentityRole_Id);  
Magic Number,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The following statement contains a magic number: CreateTable ("dbo.IdentityUserRole"' c => new {  	RoleId = c.String (nullable: false' maxLength: 128)'  	UserId = c.String (nullable: false' maxLength: 128)'  	ApplicationUser_Id = c.String (maxLength: 128)'  	IdentityRole_Id = c.String (maxLength: 128)  }).PrimaryKey (t => new {  	t.RoleId'  	t.UserId  }).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).ForeignKey ("dbo.IdentityRole"' t => t.IdentityRole_Id).Index (t => t.ApplicationUser_Id).Index (t => t.IdentityRole_Id);  
Magic Number,RecruitingTool.Data.Migrations,_1,C:\repos\taylorrobert_RecruitingTool\RecruitingTool.Data\Migrations\201501140444192_1.cs,Up,The following statement contains a magic number: CreateTable ("dbo.IdentityUserRole"' c => new {  	RoleId = c.String (nullable: false' maxLength: 128)'  	UserId = c.String (nullable: false' maxLength: 128)'  	ApplicationUser_Id = c.String (maxLength: 128)'  	IdentityRole_Id = c.String (maxLength: 128)  }).PrimaryKey (t => new {  	t.RoleId'  	t.UserId  }).ForeignKey ("dbo.ApplicationUser"' t => t.ApplicationUser_Id).ForeignKey ("dbo.IdentityRole"' t => t.IdentityRole_Id).Index (t => t.ApplicationUser_Id).Index (t => t.IdentityRole_Id);  
