Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,NMoneys.Demo.CodeProject,CurrencyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\CurrencyDemo.cs,all_currencies_can_be_obtained_and_linq_operators_applied,The length of the parameter allCurrenciesWithoutMinorUnits is 30.
Long Identifier,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,using_different_styles_for_currencies_taht_span_multiple_countries,The length of the parameter threeThousandAndTheHaldInFrench is 31.
Long Statement,NMoneys.Demo.CodeProject,CurrencyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\CurrencyDemo.cs,whats_in_a_currency_anyway,The length of the statement  "	Assert.That (euro.PaddedNumericCode' Is.EqualTo ("978")' "a string of 3 characters containing the numeric code and zeros if needed"); " is 133.
Long Statement,NMoneys.Demo.CodeProject,CurrencyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\CurrencyDemo.cs,some_currencies_have_an_character_reference_for_angly_bracket_languages,The length of the statement  "	Assert.That (reference' Is.Not.Null.And.Property ("IsEmpty").True' "the Rial does not have an reference' but a 'null' object"); " is 127.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,what_is_with_this_Major_thing,The length of the statement  "	Assert.That (Money.ForMajor (234' Currency.Gbp)' isMoneyWith (234' CurrencyIsoCode.GBP)' "instance created from the major units' in this case the Pound"); " is 154.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,what_is_with_this_Minor_thing,The length of the statement  "	Assert.That (Currency.Pound.SignificantDecimalDigits' Is.EqualTo (2)' "pounds have pence' which is a hundreth of the major unit"); " is 130.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,what_is_with_this_Minor_thing,The length of the statement  "	Assert.That (Money.ForMinor (50' Currency.Gbp)' isMoneyWith (0.5m' CurrencyIsoCode.GBP)' "fifty pence is half a pound"); " is 120.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,what_is_with_this_Minor_thing,The length of the statement  "	Assert.That (Money.ForMinor (-5' Currency.Gbp)' isMoneyWith (-0.05m' CurrencyIsoCode.GBP)' "you owe me five pence' but keep them"); " is 131.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,some_currencies_are_divided_into_more_than_100_units,The length of the statement  "	Assert.That (Money.ForMinor (-5' dinar)' isMoneyWith (-0.005m' CurrencyIsoCode.BHD)' "you owe me five fils' but keep them"); " is 124.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,some_currencies_are_divided_into_more_than_100_units,The length of the statement  "	Assert.That (.007m.ToMoney (dinar).MinorIntegralAmount' Is.EqualTo (7L)' "for fractional amounts' the minor unit prevails"); " is 124.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,and_some_currencies_do_not_have_minor_units,The length of the statement  "	Assert.That (3.7m.ToMoney (yen).MinorIntegralAmount' Is.EqualTo (3L)' "for fractional amounts' decimals are discarded"); " is 120.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,comparisons_only_possible_if_they_have_the_same_currency,The length of the statement  "	Assert.That (() => 3m.Usd ().CompareTo (CurrencyIsoCode.GBP.ToMoney (5m))' Throws.InstanceOf<DifferentCurrencyException> ()); " is 125.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,moneys_are_to_be_displayed,The length of the statement  "	Assert.That (10.536m.Eur ().ToString ()' Is.EqualTo ("10'54 €")' "default currency formatting according to instance's currency"); " is 129.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,moneys_are_to_be_displayed,The length of the statement  "	Assert.That (3.2m.Usd ().ToString ("N")' Is.EqualTo ("3.20")' "alternative formatting according to instance's currency"); " is 121.
Long Statement,NMoneys.Demo.CodeProject,MoneyDemo,F:\newReposMay17\dgg_nmoneys\src\NMoneys.Demo.CodeProject\MoneyDemo.cs,more_complex_formatting,The length of the statement  "	Assert.That (3m.Usd ().Format ("{0:00.00} {2}")' Is.EqualTo ("03.00 USD")' "formatting placeholders for code and amount"); " is 122.
