Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Orleans.Runtime.Host,ServiceRuntimeWrapper,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Orleans.Hosting.AzureCloudServices\Hosting\ServiceRuntimeWrapper.cs,GetIPEndpoint,The length of the statement  "                string errorMsg = string.Format("Unable to obtain endpoint info for role {0} from role config parameter {1} -- Endpoints defined = [{2}]"' " is 138.
Long Statement,Orleans.Runtime.Host,ServiceRuntimeWrapper,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Orleans.Hosting.AzureCloudServices\Hosting\ServiceRuntimeWrapper.cs,GetConfigurationSettingValue,The length of the statement  "            return (string) roleEnvironmentType.GetMethod("GetConfigurationSettingValue").Invoke(null' new object[] {configurationSettingName}); " is 132.
Long Statement,Orleans.Runtime.Host,ServiceRuntimeWrapper,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Orleans.Hosting.AzureCloudServices\Hosting\ServiceRuntimeWrapper.cs,Initialize,The length of the statement  "                const string msg1 = "Microsoft.WindowsAzure.ServiceRuntime is not loaded. Trying to load it with Assembly.LoadWithPartialName()."; " is 130.
Long Statement,Orleans.Runtime.Host,ServiceRuntimeWrapper,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Orleans.Hosting.AzureCloudServices\Hosting\ServiceRuntimeWrapper.cs,Initialize,The length of the statement  "                assembly = Assembly.Load(new AssemblyName("Microsoft.WindowsAzure.ServiceRuntime' Version = 2.7.0.0' Culture = neutral' PublicKeyToken = 31bf3856ad364e35")); " is 157.
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: MaxTableCreationRetries = 60;
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: PauseBetweenTableCreationRetries = (!Debugger.IsAttached)                  ? TimeSpan.FromSeconds(1)                  : TimeSpan.FromSeconds(100);
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: MaxTableOperationRetries = 5;
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: PauseBetweenTableOperationRetries = (!Debugger.IsAttached)                  ? TimeSpan.FromMilliseconds(100)                  : TimeSpan.FromSeconds(10);
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: PauseBetweenTableOperationRetries = (!Debugger.IsAttached)                  ? TimeSpan.FromMilliseconds(100)                  : TimeSpan.FromSeconds(10);
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: MaxBusyRetries = 120;
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: PauseBetweenBusyRetries = (!Debugger.IsAttached)                  ? TimeSpan.FromMilliseconds(500)                  : TimeSpan.FromSeconds(5);
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: PauseBetweenBusyRetries = (!Debugger.IsAttached)                  ? TimeSpan.FromMilliseconds(500)                  : TimeSpan.FromSeconds(5);
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: TableCreationTimeout = TimeSpan.FromMilliseconds(PauseBetweenTableCreationRetries.TotalMilliseconds * MaxTableCreationRetries * 3);
Magic Number,Orleans.Hosting.AzureCloudServices,AzureTableDefaultPolicies,D:\research\architectureSmells\repos\dotnet_orleans\src\Azure\Shared\Storage\AzureTableDefaultPolicies.cs,AzureTableDefaultPolicies,The following statement contains a magic number: TableOperationTimeout = TimeSpan.FromMilliseconds(PauseBetweenTableOperationRetries.TotalMilliseconds * MaxTableOperationRetries *6);
