Implementation smell,Namespace,Class,File,Method,Description
Long Method,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The method has 101 lines of code.
Long Statement,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The length of the statement  "	System.ComponentModel.ComponentResourceManager resources = new System.ComponentModel.ComponentResourceManager (typeof(FormSceneSample)); " is 136.
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.sceneControl1.FrameRate = 10;  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.sceneControl1.Size = new System.Drawing.Size (468' 460);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.sceneControl1.Size = new System.Drawing.Size (468' 460);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.sceneControl1.TabIndex = 5;  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.splitContainer1.Size = new System.Drawing.Size (708' 460);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.splitContainer1.Size = new System.Drawing.Size (708' 460);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.splitContainer1.SplitterDistance = 236;  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.splitContainer1.TabIndex = 6;  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.splitContainer2.Size = new System.Drawing.Size (236' 460);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.splitContainer2.Size = new System.Drawing.Size (236' 460);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.splitContainer2.SplitterDistance = 230;  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.splitContainer2.TabIndex = 7;  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.treeView1.Size = new System.Drawing.Size (236' 230);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.treeView1.Size = new System.Drawing.Size (236' 230);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.treeView1.TabIndex = 6;  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.propertyGrid1.Size = new System.Drawing.Size (236' 226);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.propertyGrid1.Size = new System.Drawing.Size (236' 226);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.ClientSize = new System.Drawing.Size (708' 460);  
Magic Number,SceneSample,FormSceneSample,F:\newReposMay17\dwmkerr_sharpgl\source\SharpGL\Samples\WinForms\SceneSample\FormSceneSample.cs,InitializeComponent,The following statement contains a magic number: this.ClientSize = new System.Drawing.Size (708' 460);  
