Implementation smell,Namespace,Class,File,Method,Description
Complex Method,LeanIX.Api.Common,ApiClient,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\Common\ApiClient.cs,invokeAPI,Cyclomatic complexity of the method is 17
Long Parameter List,LeanIX.Api.Common,ApiClient,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\Common\ApiClient.cs,invokeAPI,The method has 6 parameters.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getBusinessCapabilities,The length of the statement  "		paramStr = (relations != null && relations is DateTime) ? ((DateTime)(object)relations).ToString ("u") : Convert.ToString (relations); " is 134.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getBusinessCapabilities,The length of the statement  "		paramStr = (filter != null && filter is DateTime) ? ((DateTime)(object)filter).ToString ("u") : Convert.ToString (filter); " is 122.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 137.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getBusinessCapability,The length of the statement  "		paramStr = (relations != null && relations is DateTime) ? ((DateTime)(object)relations).ToString ("u") : Convert.ToString (relations); " is 134.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 137.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 137.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasParents,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasParents".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 157.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createFactSheetHasParent,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasParents".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 157.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasParent,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasParents/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 254.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateFactSheetHasParent,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasParents/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 254.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteFactSheetHasParent,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasParents/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 254.
