Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
FrmDragNo,7,4,0,0,1,161,6,0,0,0.89,1,0
Form2,4,4,0,0,1,98,6,0,0,0.81,1,1
Form3,7,4,0,0,1,163,6,0,0,0.89,1,1
Form4,4,4,0,0,1,100,6,0,0,0.81,1,1
FrmMain,17,15,0,0,1,332,17,0,0,1,10,1
FrmGroupableListView,0,2,0,0,1,50,2,0,0,0,0,1
FormEnter,15,5,4,0,1,205,7,0,0,0.77,0,1
FrmFading,10,8,0,0,1,218,15,0,0,0.88,2,1
FrmDataListView,9,11,0,0,1,248,18,0,0,0.94,2,1
Sample,4,1,4,0,1,34,1,0,0,1,0,1
FrmEditListView,1,7,0,0,1,125,11,0,0,0.71,2,1
MyForm,5,9,0,0,1,209,15,0,0,0.71,10,1
FrmListViewFilter,0,6,0,0,1,62,6,0,0,0,0,1
FrmPrintableListView,7,11,0,0,1,211,29,0,0,0.92,1,1
Program,0,1,0,0,0,10,1,0,0,0,1,0
Form1,32,14,0,0,1,1205,34,0,0,0.94,6,0
Resources,2,1,13,0,0,111,1,0,0,0,0,0
