Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ElshanumKasir,Program,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Program.cs,Main,The length of the statement  "	//if (PasswordHash.PasswordHash.ValidatePassword("abcde"' "sha1:1000:Yfvr94veDB4kb3A/k7rQUTRcwE99EsX2:qunx6YJeFZdfA4QeixwzB7w/nEWeado7")) " is 137.
Long Statement,ElshanumKasir.Repository,BarangDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\BarangDao.cs,Save,The length of the statement  "	_command = new MySqlCommand ("INSERT INTO m_barang" + "(nama_barang'harga_jual'harga_beli'stok'keterangan'kode_kategori) values" + "(@NAMA_BARANG'@HARGA_JUAL'@HARGA_BELI'@STOK'@KETERANGAN'@KODE_KATEGORI)"' _connection' transaction); " is 232.
Long Statement,ElshanumKasir.Repository,BarangDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\BarangDao.cs,Update,The length of the statement  "	_command = new MySqlCommand ("UPDATE m_barang SET " + "nama_barang=@NAMA_BARANG'" + "harga_jual=@HARGA_JUAL'" + "harga_beli=@HARGA_BELI'" + "stok=@STOK'" + "keterangan=@KETERANGAN'" + "kode_kategori=@KODE_KATEGORI " + "WHERE kode_barang=@KODE_BARANG"' _connection' transaction); " is 278.
Long Statement,ElshanumKasir.Repository,BarangDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\BarangDao.cs,FindWithKategori,The length of the statement  "	_command = new MySqlCommand ("SELECT b.kode_barang'b.nama_barang'b.harga_jual'b.harga_beli'b.stok'b.keterangan'k.kode_kategori'k.nama_kategori FROM m_barang b " + "INNER JOIN m_kategori k on b.kode_kategori=k.kode_kategori"' _connection); " is 238.
Long Statement,ElshanumKasir.Repository,BarangDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\BarangDao.cs,FindOne,The length of the statement  "	_command = new MySqlCommand ("SELECT kode_barang'nama_barang'harga_jual'harga_beli'stok'keterangan FROM m_barang WHERE kode_barang=@KODE_BARANG"' _connection); " is 159.
Long Statement,ElshanumKasir.Repository,BarangDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\BarangDao.cs,FindOneWithKategori,The length of the statement  "	_command = new MySqlCommand ("SELECT b.kode_barang'b.nama_barang'b.harga_jual'b.harga_beli'b.stok'b.keterangan'k.kode_kategori'k.nama_kategori FROM m_barang b " + "INNER JOIN m_kategori k on b.kode_kategori=k.kode_kategori WHERE b.kode_barang=@KODE_BARANG"' _connection); " is 271.
Long Statement,ElshanumKasir.Repository,KategoriDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\KategoriDao.cs,Save,The length of the statement  "	_command = new MySqlCommand ("INSERT INTO m_kategori(nama_kategori'keterangan) values(@NAMA_KATEGORI'@KETERANGAN)"' _connection' transaction); " is 142.
Long Statement,ElshanumKasir.Repository,KategoriDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\KategoriDao.cs,Update,The length of the statement  "	_command = new MySqlCommand ("UPDATE m_kategori SET nama_kategori=@NAMA_KATEGORI'keterangan=@KETERANGAN WHERE kode_kategori=@KODE_KATEGORI"' _connection' transaction); " is 167.
Long Statement,ElshanumKasir.Repository,KategoriDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\KategoriDao.cs,FindOne,The length of the statement  "	_command = new MySqlCommand ("SELECT kode_kategori'nama_kategori'keterangan FROM m_kategori WHERE kode_kategori=@KODE_KATEGORI"' _connection); " is 142.
Long Statement,ElshanumKasir.Repository,MemberDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\MemberDao.cs,Save,The length of the statement  "	_command = new MySqlCommand ("INSERT INTO m_member(nama_member'diskon) " + "values(@NAMA_MEMBER'@DISKON)"' _connection' transaction); " is 133.
Long Statement,ElshanumKasir.Repository,MemberDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\MemberDao.cs,Update,The length of the statement  "	_command = new MySqlCommand ("UPDATE m_member SET nama_member=@NAMA_MEMBER'diskon=@DISKON " + "WHERE kode_member=@KODE_MEMBER"' _connection' transaction); " is 154.
Long Statement,ElshanumKasir.Repository,MemberDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\MemberDao.cs,FindOne,The length of the statement  "	_command = new MySqlCommand ("SELECT kode_member'nama_member'diskon FROM " + "m_member WHERE kode_member=@KODE_MEMBER"' _connection); " is 133.
Long Statement,ElshanumKasir.Repository,PelangganDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PelangganDao.cs,Save,The length of the statement  "	_command = new MySqlCommand ("INSERT INTO m_pelanggan(nama_pelanggan'alamat'no_telepon'kode_member) values(@NAMA_PELANGGAN'@ALAMAT'@NO_TELEPON'@KODE_MEMBER)"' _connection' transaction); " is 185.
Long Statement,ElshanumKasir.Repository,PelangganDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PelangganDao.cs,Update,The length of the statement  "	_command = new MySqlCommand ("UPDATE m_pelanggan SET nama_pelanggan=@NAMA_PELANGGAN' alamat=@ALAMAT'no_telepon=@NO_TELEPON' kode_member=@KODE_MEMBER WHERE kode_pelanggan=@KODE_PELANGGAN"' _connection' transaction); " is 214.
Long Statement,ElshanumKasir.Repository,PelangganDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PelangganDao.cs,FindWithMember,The length of the statement  "	_command = new MySqlCommand ("SELECT p.kode_pelanggan'p.nama_pelanggan'p.alamat'p.no_telepon'm.kode_member'm.nama_member'm.diskon " + "FROM m_pelanggan p INNER JOIN m_member m on p.kode_member=m.kode_member"' _connection); " is 222.
Long Statement,ElshanumKasir.Repository,PelangganDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PelangganDao.cs,FindWithMemberByNama,The length of the statement  "	_command = new MySqlCommand ("SELECT p.kode_pelanggan'p.nama_pelanggan'p.alamat'p.no_telepon'm.kode_member'm.nama_member'm.diskon " + "FROM m_pelanggan p INNER JOIN m_member m on p.kode_member=m.kode_member " + "WHERE p.nama_pelanggan like @NAMA_PELANGGAN"' _connection); " is 271.
Long Statement,ElshanumKasir.Repository,PelangganDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PelangganDao.cs,FindOneWithMember,The length of the statement  "	_command = new MySqlCommand ("SELECT p.kode_pelanggan'p.nama_pelanggan'p.alamat'p.no_telepon'm.kode_member'm.nama_member'm.diskon " + "FROM m_pelanggan p INNER JOIN m_member m on p.kode_member=m.kode_member " + "WHERE kode_pelanggan=@KODE_PELANGGAN"' _connection); " is 264.
Long Statement,ElshanumKasir.Repository,PenggunaDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PenggunaDao.cs,Save,The length of the statement  "	_command = new MySqlCommand ("INSERT INTO m_pengguna(username'nama'password'kode_role) " + "values(@USERNAME'@NAMA'@PASSWORD'@KODE_ROLE)"' _connection' transaction); " is 165.
Long Statement,ElshanumKasir.Repository,PenggunaDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PenggunaDao.cs,Update,The length of the statement  "	_command = new MySqlCommand ("UPDATE m_pengguna SET " + "username=@USERNAME'nama=@NAMA'password=@PASSWORD'kode_role=@KODE_ROLE " + "WHERE kode_pengguna=@KODE_PENGGUNA"' _connection' transaction); " is 195.
Long Statement,ElshanumKasir.Repository,PenggunaDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PenggunaDao.cs,Delete,The length of the statement  "	_command = new MySqlCommand ("DELETE FROM m_pengguna where " + "kode_pengguna=@KODE_PENGGUNA"' _connection' transaction); " is 121.
Long Statement,ElshanumKasir.Repository,PenggunaDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PenggunaDao.cs,FindWithRole,The length of the statement  "	_command = new MySqlCommand ("SELECT p.kode_pengguna'p.username'p.nama'" + "r.nama_role FROM m_pengguna p INNER JOIN m_role r " + "ON p.kode_role=r.kode_role"' _connection); " is 173.
Long Statement,ElshanumKasir.Repository,PenggunaDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\PenggunaDao.cs,FindOneWithRole,The length of the statement  "	_command = new MySqlCommand ("SELECT p.kode_pengguna'p.username'p.nama'" + "r.nama_role FROM m_pengguna p INNER JOIN m_role r " + "ON p.kode_role=r.kode_role WHERE kode_pengguna=@KODE_PENGGUNA"' _connection); " is 208.
Long Statement,ElshanumKasir.Repository,SupplierDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\SupplierDao.cs,Save,The length of the statement  "	_command = new MySqlCommand ("INSERT INTO m_supplier(nama_supplier'alamat'no_telepon) " + "VALUES(@NAMA_SUPPLIER'@ALAMAT'@NO_TELEPON)"' _connection' transaction); " is 162.
Long Statement,ElshanumKasir.Repository,SupplierDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\SupplierDao.cs,Update,The length of the statement  "	_command = new MySqlCommand ("UPDATE m_supplier SET " + "nama_supplier=@NAMA_SUPPLIER'alamat=@ALAMAT' " + "no_telepon=@NO_TELEPON WHERE " + "kode_supplier=@KODE_SUPPLIER"' _connection' transaction); " is 198.
Long Statement,ElshanumKasir.Repository,SupplierDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\SupplierDao.cs,Delete,The length of the statement  "	_command = new MySqlCommand ("DELETE FROM m_supplier WHERE " + "kode_supplier=@KODE_SUPPLIER"' _connection' transaction); " is 121.
Long Statement,ElshanumKasir.Repository,SupplierDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\SupplierDao.cs,FindByNama,The length of the statement  "	_command = new MySqlCommand ("SELECT kode_supplier'nama_supplier'alamat'no_telepon " + "FROM m_supplier WHERE nama_supplier like @NAMA_SUPPLIER"' _connection); " is 159.
Long Statement,ElshanumKasir.Repository,SupplierDao,C:\repos\agungsetiawan_Elshanum-Kasir\ElshanumKasir\Repository\SupplierDao.cs,FindOne,The length of the statement  "	_command = new MySqlCommand ("SELECT kode_supplier'nama_supplier'alamat'no_telepon " + "FROM m_supplier WHERE kode_supplier=@KODE_SUPPLIER"' _connection); " is 154.
