Implementation smell,Namespace,Class,File,Method,Description
Long Statement,KSPModAdmin.UnitTests,GitHubParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\GitHubParserUnitTest.cs,InitTests,The length of the statement  "            string url = "https://github.com/KSP-RO/RealismOverhaul/releases"; // https://github.com/RemoteTechnologiesGroup/RemoteTech/releases " is 132.
Magic Number,KSPModAdmin.UnitTests,GitHubParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\GitHubParserUnitTest.cs,GetUrlParts_Success,The following statement contains a magic number: Assert.IsTrue(parts.Count >= 4);
Magic Number,KSPModAdmin.UnitTests,GitHubParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\GitHubParserUnitTest.cs,GetUrlParts_Success,The following statement contains a magic number: Assert.IsTrue(parts2.Count >= 4);
Magic Number,KSPModAdmin.UnitTests,CorseForgeParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\CorseForgeParserUnitTest.cs,GetModCreationDate_Success,The following statement contains a magic number: Assert.AreEqual(new DateTime(2014' 5' 6' 18' 15' 45)' modCreationDate);
Magic Number,KSPModAdmin.UnitTests,CorseForgeParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\CorseForgeParserUnitTest.cs,GetModCreationDate_Success,The following statement contains a magic number: Assert.AreEqual(new DateTime(2014' 5' 6' 18' 15' 45)' modCreationDate);
Magic Number,KSPModAdmin.UnitTests,CorseForgeParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\CorseForgeParserUnitTest.cs,GetModCreationDate_Success,The following statement contains a magic number: Assert.AreEqual(new DateTime(2014' 5' 6' 18' 15' 45)' modCreationDate);
Magic Number,KSPModAdmin.UnitTests,CorseForgeParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\CorseForgeParserUnitTest.cs,GetModCreationDate_Success,The following statement contains a magic number: Assert.AreEqual(new DateTime(2014' 5' 6' 18' 15' 45)' modCreationDate);
Magic Number,KSPModAdmin.UnitTests,CorseForgeParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\CorseForgeParserUnitTest.cs,GetModCreationDate_Success,The following statement contains a magic number: Assert.AreEqual(new DateTime(2014' 5' 6' 18' 15' 45)' modCreationDate);
Magic Number,KSPModAdmin.UnitTests,CorseForgeParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\CorseForgeParserUnitTest.cs,GetModCreationDate_Success,The following statement contains a magic number: Assert.AreEqual(new DateTime(2014' 5' 6' 18' 15' 45)' modCreationDate);
Magic Number,KSPModAdmin.UnitTests,CorseForgeParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\CorseForgeParserUnitTest.cs,GetModDownloadCount_Success,The following statement contains a magic number: Assert.IsTrue(int.Parse(count.Replace("'"' string.Empty).Replace("."' string.Empty)) > 2246587);
Magic Number,KSPModAdmin.UnitTests,CorseForgeParserUnitTest,D:\research\architectureSmells\repos\MacTee_KSP-Mod-Admin-aOS\KSPModAdmin.UnitTests\CorseForgeParserUnitTest.cs,GetModGameVersion_Success,The following statement contains a magic number: Assert.IsTrue(new Version(version) > new Version(1' 4' 0));
