Architecture smell,Project,Namespace,Cause
Unstable Dependency,StyleCop.Analyzers,StyleCop.Analyzers,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): StyleCop.Analyzers.Settings.ObjectModel
Unstable Dependency,StyleCop.Analyzers,StyleCop.Analyzers.Helpers,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): StyleCop.Analyzers.Helpers.ObjectPools' StyleCop.Analyzers.Settings.ObjectModel
Unstable Dependency,StyleCop.Analyzers,StyleCop.Analyzers.NamingRules,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): StyleCop.Analyzers.Settings.ObjectModel
Unstable Dependency,StyleCop.Analyzers,StyleCop.Analyzers.ReadabilityRules,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): StyleCop.Analyzers.Helpers' StyleCop.Analyzers.SpacingRules
Unstable Dependency,StyleCop.Analyzers,StyleCop.Analyzers.SpacingRules,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): StyleCop.Analyzers.Settings.ObjectModel
Ambiguous Interface,StyleCop.Analyzers,StyleCop.Analyzers.Settings.ObjectModel,The tool detected the smell in this component because the component provides only a single' general entry-point via the following class: DocumentationSettings
God Component,StyleCop.Analyzers,StyleCop.Analyzers.DocumentationRules,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
God Component,StyleCop.Analyzers,StyleCop.Analyzers.ReadabilityRules,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
God Component,StyleCop.Analyzers,StyleCop.Analyzers.SpacingRules,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
Feature Concentration,StyleCop.Analyzers,StyleCop.Analyzers,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnalyzerCategory]' [AnalyzerConstants]' [AnalyzerExtensions]' [NoCodeFixAttribute]' [NoDiagnosticAttribute]' [DeserializationFailureBehavior' SettingsHelper]. LCC (Lack of Component Cohesion) = 0.86
Feature Concentration,StyleCop.Analyzers,StyleCop.Analyzers.DocumentationRules,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DocumentationResources' FileHeaderAnalyzers' GenericTypeParameterDocumentationAnalyzer' PropertySummaryDocumentationAnalyzer' SA1611ElementParametersMustBeDocumented' SA1625ElementDocumentationMustNotBeCopiedAndPasted' SA1627DocumentationTextMustNotBeEmpty' SA1642ConstructorSummaryDocumentationMustBeginWithStandardText' SA1643DestructorSummaryDocumentationMustBeginWithStandardText' SA1648InheritDocMustBeUsedWithInheritingClass' SA1649FileNameMustMatchTypeName' StandardTextDiagnosticBase' ElementDocumentationBase' SA1608ElementDocumentationMustNotHaveDefaultSummary' SA1612ElementParameterDocumentationMustMatchElementParameters' SA1613ElementParameterDocumentationMustDeclareParameterName' SA1614ElementParameterDocumentationMustHaveText' SA1616ElementReturnValueDocumentationMustHaveText' PropertyDocumentationBase' SA1609PropertyDocumentationMustHaveValue' SA1610PropertyDocumentationMustHaveValueText]' [ElementDocumentationSummaryBase' SA1604ElementDocumentationMustHaveSummary' SA1606ElementDocumentationMustHaveSummaryText]' [PartialElementDocumentationSummaryBase' SA1605PartialElementDocumentationMustHaveSummary' SA1607PartialElementDocumentationMustHaveSummaryText]' [SA1600ElementsMustBeDocumented]' [SA1601PartialElementsMustBeDocumented]' [SA1602EnumerationItemsMustBeDocumented]' [SA1603DocumentationMustContainValidXml]' [SA1615ElementReturnValueMustBeDocumented]' [SA1617VoidReturnValueMustNotBeDocumented]' [SA1618GenericTypeParametersMustBeDocumented]' [SA1619GenericTypeParametersMustBeDocumentedPartialClass]' [SA1626SingleLineCommentsMustNotUseDocumentationStyleSlashes]' [SA1628DocumentationTextMustBeginWithACapitalLetter]' [SA1629DocumentationTextMustEndWithAPeriod]' [SA1630DocumentationTextMustContainWhitespace]' [SA1631DocumentationMustMeetCharacterPercentage]' [SA1632DocumentationTextMustMeetMinimumCharacterLength]' [SA1644DocumentationHeadersMustNotContainBlankLines]' [SA1645IncludedDocumentationFileDoesNotExist]' [SA1646IncludedDocumentationXPathDoesNotExist]' [SA1647IncludeNodeDoesNotContainValidFileAndPath]' [SA1650ElementDocumentationMustBeSpelledCorrectly]' [SA1651DoNotUsePlaceholderElements]. LCC (Lack of Component Cohesion) = 0.49
Feature Concentration,StyleCop.Analyzers,StyleCop.Analyzers.Helpers,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccessLevel' AccessLevelHelper' MemberOrderHelper' Requires]' [DeclarationModifiersHelper]' [DiagnosticOptionsHelper]' [DocumentationCommentExtensions]' [FileHeader' FileHeaderHelpers' TriviaHelper' XmlFileHeader' SyntaxTreeHelpers' TokenHelper]' [FileNameHelpers' NamedTypeHelpers]' [HelpersResources]' [LiteralExpressionHelpers]' [LocationHelpers]' [NameSyntaxHelpers]' [SpacingExtensions]' [SpecializedTasks]' [SyntaxKinds]' [UsingDirectiveSyntaxHelpers' UsingGroup]' [XmlCommentHelper' XmlSyntaxFactory]' [XPathExtensions]. LCC (Lack of Component Cohesion) = 0.59
Feature Concentration,StyleCop.Analyzers,StyleCop.Analyzers.OrderingRules,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ModifierOrderHelper]' [OrderingResources' SA1201ElementsMustAppearInTheCorrectOrder' SA1202ElementsMustBeOrderedByAccess' SA1203ConstantsMustAppearBeforeFields' SA1204StaticElementsMustAppearBeforeInstanceElements' SA1214ReadonlyElementsMustAppearBeforeNonReadonlyElements]' [SA1200UsingDirectivesMustBePlacedCorrectly]' [SA1205PartialElementsMustDeclareAccess]' [SA1206DeclarationKeywordsMustFollowOrder]' [SA1207ProtectedMustComeBeforeInternal]' [SA1208SystemUsingDirectivesMustBePlacedBeforeOtherUsingDirectives]' [SA1209UsingAliasDirectivesMustBePlacedAfterOtherUsingDirectives]' [SA1210UsingDirectivesMustBeOrderedAlphabeticallyByNamespace]' [SA1211UsingAliasDirectivesMustBeOrderedAlphabeticallyByAliasName]' [SA1212PropertyAccessorsMustFollowOrder]' [SA1213EventAccessorsMustFollowOrder]' [SA1216UsingStaticDirectivesMustBePlacedAtTheCorrectLocation]' [SA1217UsingStaticDirectivesMustBeOrderedAlphabetically]. LCC (Lack of Component Cohesion) = 0.74
Feature Concentration,StyleCop.Analyzers,StyleCop.Analyzers.LayoutRules,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LayoutResources' SA1502ElementMustNotBeOnASingleLine' SA1516ElementsMustBeSeparatedByBlankLine' SA1518UseLineEndingsCorrectlyAtEndOfFile]' [SA1500BracesForMultiLineStatementsMustNotShareLine]' [SA1501StatementMustNotBeOnASingleLine' SA1503BracesMustNotBeOmitted' SA1519BracesMustNotBeOmittedFromMultiLineChildStatement' SA1520UseBracesConsistently]' [SA1504AllAccessorsMustBeSingleLineOrMultiLine]' [SA1505OpeningBracesMustNotBeFollowedByBlankLine]' [SA1506ElementDocumentationHeadersMustNotBeFollowedByBlankLine]' [SA1507CodeMustNotContainMultipleBlankLinesInARow' SA1512SingleLineCommentsMustNotBeFollowedByBlankLine]' [SA1508ClosingBracesMustNotBePrecededByBlankLine]' [SA1509OpeningBracesMustNotBePrecededByBlankLine]' [SA1510ChainedStatementBlocksMustNotBePrecededByBlankLine]' [SA1511WhileDoFooterMustNotBePrecededByBlankLine]' [SA1513ClosingBraceMustBeFollowedByBlankLine]' [SA1514ElementDocumentationHeaderMustBePrecededByBlankLine]' [SA1515SingleLineCommentMustBePrecededByBlankLine]' [SA1517CodeMustNotContainBlankLinesAtStartOfFile]. LCC (Lack of Component Cohesion) = 0.68
