Repo,Total classes,NOF,NOM,NOP,NOPF,NOPM,LOC,Avg WMC,Avg NC,Avg DIT
akavache_Akavache,179,223,1000,185,15,635,14881,8.748603352,0.335195531,0.351955307
akilb_NGitHub,63,42,134,201,11,87,2210,2.984126984,0.222222222,0.206349206
akkadotnet_akka.net,109,89,191,152,18,95,3151,2.908256881,0,0
akshay2000_XBMCRemoteRT,231,311,922,542,44,405,14313,7.012987013,0.051948052,0.051948052
alanning_MongoProviders,8,52,54,166,17,31,2737,28.875,0,0
albertjan_PipeToCom,10,35,28,14,0,11,810,6.5,0,0
AlchemyAPI_alchemyapi_csharp,21,77,237,24,1,228,2205,21.0952381,0.619047619,0.619047619
Alex141_CalcBinding,38,68,74,87,4,44,2191,4.921052632,0.289473684,0.368421053
alexander-makarov_ExpandCollapsePanel,11,66,36,31,0,7,1754,10.09090909,0,0
AlexanderByndyu_ByndyuSoft.Infrastructure,20,1,21,10,0,17,287,1.65,0,0
alexandernyquist_Harvest,21,33,47,17,7,33,810,2.80952381,0.285714286,0.285714286
AlexCuse_RazorReport,14,19,55,8,0,24,485,5.214285714,0.214285714,0.214285714
alexdemers_csharp-resque,16,20,64,12,8,58,695,8.9375,0.125,0.125
alexiscn_social_share,33,45,98,81,6,35,2322,10.90909091,0.03030303,0.03030303
AlexPoint_OpenNlp,373,1223,2704,302,343,1775,59737,19.63806971,0.587131367,0.643431635
alextsui05_VimAddin,31,88,196,46,0,117,4888,30.58064516,0.129032258,0.129032258
alisabzevari_ngval,1,0,7,0,0,4,64,17,0,0
Alkalinee_Hurricane,373,555,1083,1171,84,673,22217,6.973190349,0.235924933,0.222520107
amarmesic_windows-phone-navigation-drawer,3,13,28,3,1,7,570,25,0,0
AmbitEnergyLabs_Nano,78,149,352,37,132,297,7329,8.58974359,0.115384615,0.217948718
americommerce_ac-rest-api,20,4,23,32,0,16,437,2.65,0,0
amibar_SmartThreadPool,224,861,1650,541,106,907,32688,11.66071429,0.294642857,0.232142857
AmirKarimi_Xoqal,27,6,71,10,0,37,946,3.296296296,1.074074074,0.962962963
amirrajan_Oak,2,1,3,0,0,0,105,5.5,0,0
anagram4wander_VirtualizingObservableCollection,52,85,202,90,0,118,3421,7.384615385,0.634615385,0.615384615
AnalyticalGraphicsInc_czml-writer,154,1105,3517,531,496,3195,49398,51.96753247,0.62987013,1.422077922
andanteyk_ElectronicObserver,291,1736,1891,1098,110,758,64337,24.18900344,0.652920962,0.694158076
AndersMalmgren_FreePIE,10,4,14,13,0,5,152,1.8,0,0
AndersMalmgren_SignalR.EventAggregatorProxy,36,15,78,19,2,60,893,2.416666667,0.305555556,0.277777778
andreazevedo_petstore-ddd-csharp,64,28,164,116,3,99,2813,3.5,0.328125,0.390625
AndresTraks_BulletSharp,144,751,638,135,102,312,28672,11.15277778,0.229166667,0.208333333
andrewconnell_SPOAuthFiddlerExt,4,25,16,16,0,10,759,14.25,0,0
andrewdavey_cassette,401,458,1550,326,8,801,19048,6.346633416,0.518703242,0.628428928
andrewdavey_postal,69,72,303,37,4,168,4278,10.24637681,0.188405797,0.188405797
AndreyAkinshin_InteropDotNet,11,12,55,2,6,19,683,11.27272727,0.181818182,0.181818182
AndreyNikiforov_vault2git,4,32,27,3,14,3,673,19,0,0
andyedinborough_aenetmail,25,38,210,64,0,137,2857,18.08,0.28,0.2
andyfmiller_LtiLibrary,136,148,177,448,105,139,7706,2.735294118,0.323529412,0.441176471
andykorth_opentk,2,4,14,0,0,2,199,12,0,0
AnguisCaptor_SecureSocketProtocol,235,755,1399,462,115,890,34884,18.76170213,0.382978723,0.391489362
Anime4000_IFME,28,227,101,41,103,13,3515,10.96428571,0.142857143,0.142857143
Anna-Rx_Anna,14,17,47,13,1,43,516,3.928571429,0.285714286,0.357142857
AnthonyCarl_ServiceStack.PartialResponse,18,8,29,13,4,21,500,5.444444444,0.222222222,0.222222222
antmicro_Migrant,73,136,438,81,2,273,6812,13.61643836,0.342465753,0.383561644
anurse_MicroRazorHost,6,4,31,10,0,22,318,8.166666667,0,0
anycmd_anycmd,749,625,1626,1826,27,1231,51654,5.862483311,0.732977303,1.005340454
apache_lucenenet,2045,7701,13134,2284,1141,8955,375874,19.63276284,0.700244499,0.862591687
apetrovskiy_STUPS,3195,3508,7136,3493,1396,3681,149017,5.383098592,0.763693271,1.201251956
aphistic_libnbt,18,1,158,25,0,85,1436,21.27777778,1.111111111,0.555555556
Apokee_Ketchup,43,273,320,116,8,172,6028,23.3255814,0.279069767,0.279069767
appfirst_statsd_clients,19,25,53,10,4,36,446,3.684210526,0.578947368,0.789473684
appharbor_appharbor-cli,62,89,154,13,2,89,1567,4.467741935,0.612903226,0.822580645
appharbor_AppHarbor.Web.Security,13,16,66,28,0,56,624,8.923076923,0.307692308,0.307692308
appium_appium-dotnet-driver,100,562,427,50,492,292,6648,5.5,0.85,0.46
arashnorouzi_Moon-APNS,6,17,23,17,0,14,514,10.66666667,0,0
ArcEarth_LightNovelClientWindows,639,752,1666,2890,145,1009,44591,5.954616588,0.644757433,1.733959311
ArcticEcho_Phamhilator,33,81,121,43,2,76,2367,10.60606061,0.060606061,0.060606061
aritchie_acr-xamarin-forms,15,28,22,44,9,17,558,3.733333333,0,0
ArmenAg_Improvisation,89,188,330,78,60,221,5095,7.280898876,0.258426966,0.269662921
ArxOne_MrAdvice,225,133,761,298,14,408,14679,5.635555556,0.377777778,0.475555556
ashmind_net-feature-tests,152,108,622,147,6,483,7467,5.296052632,0.335526316,0.335526316
asik_FixedMath.Net,1,23,30,1,12,24,412438,66,0,0
aspnet_DNX,6,0,1,0,0,1,22,0.166666667,0,0
aspnet_XRE,6,0,1,0,0,1,22,0.166666667,0,0
aspnetwebstack_aspnetwebstack,1366,1941,7238,2837,93,3923,117487,10.90775988,0.431918009,0.485358712
asposecells_Aspose_Cells_NET,893,737,1732,209,53,928,51150,3.623740202,0.017917133,0.017917133
asposewords_Aspose_Words_NET,527,431,1729,231,59,1159,40252,6.673624288,0.203036053,0.218216319
Astn_JSON-RPC.NET,23,21,77,62,2,54,1527,6.347826087,0,0
Athari_CsCss,95,1213,600,405,891,118,25487,29.27368421,0.189473684,0.2
Athari_XnaConvert,21,5,46,18,0,28,523,3.238095238,0.523809524,0.523809524
atheken_NoRM,186,161,696,350,6,342,12732,8.043010753,0.494623656,0.704301075
atnet_devfw,551,708,2170,618,141,1567,94978,9.468239564,0.188747731,0.21415608
atsushieno_mono-reactive,370,1156,4870,286,6,4249,46849,18.17837838,0.421621622,0.4
AttackPattern_CSharpAnalytics,215,467,804,455,7,387,16506,7.237209302,0.274418605,0.302325581
AustinWise_m2net,15,84,157,23,10,119,2082,23.86666667,0,0
AutoFixture_AutoFixture,394,217,1524,246,7,939,29382,7.456852792,0.672588832,0.720812183
AutoMapper_AutoMapper,87,22,106,149,0,95,3178,1.75862069,0.126436782,0.114942529
AutomatedArchitecture_SirenOfShame,420,1627,2235,800,133,817,41827,10.0047619,0.271428571,0.271428571
avatar29A_MusicBrainz,81,46,104,213,30,74,3203,2.012345679,0.481481481,0.580246914
AvengerDr_Odyssey,17,35,66,19,5,28,1362,11.58823529,0.176470588,0.235294118
AvilanceLtd_StarryboundServer,72,216,275,16,175,247,6082,14.40277778,0.472222222,0.472222222
awhatley_jquery-tmpl.net,25,20,54,37,6,32,707,3.6,0.44,0.44
ayende_rhino-etl,84,112,370,80,7,216,6038,7.285714286,0.678571429,0.857142857
ayende_rhino-licensing,72,84,174,84,4,93,2750,4.027777778,0.388888889,0.402777778
ayende_XmcdParser,6,8,13,18,0,6,400,7.166666667,0,0
Azure_Azure-Media-Services-Explorer,199,3985,2248,1209,739,393,77402,32.4321608,0,0
Azure_azure-mobile-services,229,252,1114,525,36,630,21898,10.37554585,0.305676856,0.301310044
Azure_azure-mobile-services-resourcebroker,14,11,31,20,3,23,934,8.5,0.357142857,0.428571429
Azure_azure-sdk-for-media-services,312,448,1217,1169,65,631,27487,7.169871795,0.384615385,0.442307692
Azure_azure-sdk-for-media-services-extensions,24,123,105,29,83,78,2601,10.20833333,0.083333333,0.083333333
Azure_azure-sdk-for-net,35,8,331,130,0,231,12293,48.31428571,0.4,0.4
Azure_azure-storage-net,1176,4293,9357,2854,2358,5964,206621,15.35119048,0.225340136,0.234693878
Azure_azure-webjobs-sdk-samples,39,24,95,40,2,66,1233,3.538461538,0.025641026,0.025641026
Azure_AzureQuickStartsProjects,69,40,225,102,1,45,4528,7.101449275,0,0
Azure_rtable,108,182,730,159,58,424,12808,15.66666667,0.175925926,0.175925926
azure-contrib_AzureDirectory,7,22,58,20,0,51,867,20,0,0
azure-contrib_WindowsAzureDiskResizer,9,45,100,17,36,89,1502,23,0,0
Azure-Readiness_DevCamp,36,43,86,105,1,65,1636,3.333333333,0,0
AzureAD_azure-activedirectory-library-for-dotnet,73,89,250,51,2,106,5404,6.397260274,0.109589041,0.123287671
AzureADSamples_ConsoleApp-GraphAPI-DotNet,7,13,50,0,13,11,1206,29.14285714,0,0
AzureADSamples_NativeClient-Headless-DotNet,2,9,12,0,1,2,280,23.5,0,0
azurecoder_fluent-management,384,298,1114,815,157,452,21232,4.53125,0.598958333,0.658854167
BahamutoD_BDArmory,76,1259,875,84,701,371,20628,49.72368421,0.039473684,0.039473684
Banandana_LineSharp,267,761,542,697,102,512,150260,16.98501873,0,0
banderous_Uniject,102,42,278,374,0,176,3476,3.294117647,0.392156863,0.411764706
bardock_DotNet.Utils,128,50,563,59,3,479,6547,10.203125,0.1328125,0.1328125
Barnacules_Codegasm,10,27,29,6,3,10,773,7.7,0,0
barometz_flintlock,5,60,36,12,0,6,1396,15,0,0
bbaia_connect-owin,4,5,24,1,0,9,748,17.75,0,0
bbarnhill_barcodelib,30,69,113,54,0,49,6688,21.9,1.466666667,0.733333333
bbraithwaite_RepoWrapper,3,1,8,6,0,4,208,7.333333333,0,0
bbyars_RestMvc,29,23,128,53,9,112,1407,5.172413793,0.275862069,0.275862069
bcgit_bc-csharp,7402,30383,51289,10786,8955,35552,946824,16.36098352,0.683599027,1.010537693
bchavez_SharpFlame,377,1910,1628,425,1276,1215,48734,18.88594164,0.220159151,0.297082228
benaston_NState,19,4,27,35,0,20,521,2.842105263,0.263157895,0.263157895
benfoster_Fabrik.Common,211,138,395,130,21,290,7375,2.511848341,0.222748815,0.251184834
BenFradet_RiotSharp,211,145,487,818,28,265,13716,6.431279621,0.056872038,0.047393365
BenjaminGale_ModalContentPresenter,2,19,18,8,8,3,470,13,0,0
benlaan_sqlformat,4,4,4,3,0,1,87,1,0,0
benmccallum_AspNetBundling,5,1,13,1,0,6,219,7.4,0,0
BenPhegan_NuGet.Extensions,91,159,341,204,21,146,5788,7.318681319,0.241758242,0.241758242
benrhughes_todotxt.net,46,68,320,126,9,154,4698,14.91304348,0,0
bentonstark_starksoft-aspen,105,380,659,163,4,418,14898,17.26666667,0.314285714,0.352380952
BentThomsen_SmartCampusAAU,14,65,282,0,1,220,1589,26,0.071428571,0.071428571
bernos_MediatR.Extensions,11,17,50,0,0,21,290,6,0.181818182,0.272727273
bietiekay_hacs,2094,4262,11900,4064,1062,8076,302801,16.23352436,0.479942693,0.614135626
Bilal-S_iis2tomcat,33,200,180,58,131,89,5436,16.90909091,0.303030303,0.363636364
BilalHasanKhan_FunctionsTracker,58,18,179,157,0,94,1694,3.655172414,0.24137931,0.24137931
BioTronic_TweakScale,73,100,195,44,23,146,3292,5.205479452,0.191780822,0.178082192
birkett_CloudFlare-DDNS-Updater,16,56,60,81,3,16,2314,7.75,0,0
BitMiracle_libtiff.net,59,1203,481,33,162,157,28646,58.86440678,0,0
bittercoder_DevDefined.OAuth,84,135,425,165,54,294,4550,7.964285714,0.404761905,0.464285714
bkeiren_EasyImgur,32,110,135,56,0,41,4070,12.1875,0.375,0.375
blacker-cz_MangaScraper,31,27,105,44,1,56,1525,7.967741935,0.258064516,0.225806452
Blecki_DCPUB,567,1502,2251,450,904,1510,37889,9.481481481,0.322751323,0.437389771
BlueMountainCapital_riemann-csharp,9,62,36,29,14,16,921,6.222222222,0.111111111,0.111111111
BlueMountainCapital_riemann-health-windows,6,2,13,6,0,7,520,7.666666667,0,0
BobPalmer_SrvPack,5,22,45,6,22,32,471,15.6,0,0
BobPalmer_WarpDrive,3,32,20,8,13,6,530,37.66666667,0,0
Bobris_BTDB,378,840,2460,415,36,1555,31217,13.08730159,0.658730159,0.55026455
Bobris_Nowin,49,240,290,133,36,131,5395,21.53061224,0.387755102,0.387755102
bpfliegel_Portfish,398,2991,2148,17,0,61,63914,18.01005025,0.007537688,0.007537688
braathen_qv-edx-trigger,128,315,269,320,3,120,12194,2.6328125,0.09375,0.1015625
brandondahler_Data.HashFunction,117,68,351,44,1,224,9144,6.837606838,0.854700855,1.538461538
breeze_breeze.sharp.samples,163,83,288,707,6,198,9622,2.490797546,0.429447853,0.343558282
brentedwards_Charmed,103,97,324,112,24,217,5113,5.194174757,0.27184466,0.27184466
BrightcoveOS_.NET-MAPI-Wrapper,53,4,344,141,0,306,7730,17.30188679,0.566037736,0.339622642
BrightstarDB_BrightstarDB,142,161,530,290,36,310,10997,7.809859155,0.190140845,0.183098592
brockallen_BrockAllen.OAuth2,20,11,49,38,1,27,799,4.7,0.2,0.2
brooklynDev_NGon,3,1,5,0,0,3,66,3.666666667,0,0
brucedog_u2flib,41,30,113,96,3,86,1873,3.853658537,0.243902439,0.243902439
brunomlopes_dbdeploy.net,67,90,170,106,16,115,3484,5.358208955,0.373134328,0.432835821
BruTile_BruTile,228,511,600,569,17,421,22123,6.245614035,0.377192982,0.434210526
BryceSchroeder_Kopernicus,161,232,462,1600,177,343,27070,7.434782609,0.459627329,0.459627329
bsommardahl_BlingBag,37,33,52,23,7,33,529,1.621621622,0.351351351,0.405405405
Bukimedia_PrestaSharp,160,0,558,557,0,522,8290,4.43125,0.9375,0.94375
Bunkerbewohner_ColladaXna,1,7,1,6,0,0,107,3,0,0
burkeholland_InstaSharp,54,6,59,115,0,56,1417,1.666666667,0.407407407,0.407407407
ButchersBoy_Dragablz,312,630,911,448,258,461,15448,5.592948718,0.144230769,0.157051282
ButchersBoy_MaterialDesignInXamlToolkit,229,526,765,360,308,376,13460,5.655021834,0.056768559,0.056768559
buunguyen_bike,87,158,560,68,104,413,6322,13.71264368,0.724137931,0.977011494
buunguyen_combres,80,51,273,123,3,159,4508,5.9125,0.375,0.425
bvcms_bvcms,749,5986,8423,5208,765,2281,124326,17.04672897,0.098798398,0.106809079
bwight_CloudInit.NET,27,25,74,30,1,31,1581,6.62962963,0.222222222,0.222222222
ByteBlast_Shortcut,22,16,56,12,0,20,753,3.545454545,0,0
ByteBlast_Validator,5,7,84,0,0,74,1114,28,0,0
BYVoid_distribox,45,89,192,99,11,123,4387,9.422222222,0.177777778,0.177777778
cadencii_cadencii,792,7345,4854,1663,3864,3633,190396,17.83207071,0.123737374,0.103535354
caelum_restfulie-net,24,39,135,24,0,78,1126,8.291666667,0.375,0.375
cail_hobd,70,473,348,97,336,255,8020,14.7,0.6,0.814285714
Caliburn-Micro_Caliburn.Micro,622,1167,2270,445,559,1385,46788,6.117363344,0.419614148,0.379421222
camitz_CloudWatchAppender,161,397,473,479,54,213,9352,6.894409938,0.590062112,0.52173913
canton7_Stylet,231,196,669,239,25,356,9880,3.9004329,0.532467532,0.567099567
CaptainCodeman_elmah-mongodb,7,11,18,3,0,15,308,5,0,0
CartBlanche_MonoGame-Samples,767,3918,3935,1424,656,2574,100017,14.69100391,0.322033898,0.368970013
casascius_Bitcoin-Address-Utility,50,410,359,59,32,161,10769,22.48,0.18,0.22
caseywatson_Mantle,250,136,817,223,5,617,7893,5.744,0.804,0.672
CasparCG_Tools,122,516,498,168,179,337,12441,11.82786885,0.073770492,0.073770492
castleproject_Castle.ActiveRecord-READONLY,3,5,4,2,0,2,138,2.333333333,0,0
castleproject_Castle.Transactions,78,101,417,114,16,279,5388,7.820512821,0.474358974,0.743589744
castleproject_castlezmq,64,126,289,43,25,198,3893,9.25,0.140625,0.15625
castleproject_Core,318,401,1674,386,46,985,21211,8.811320755,0.672955975,0.773584906
castleproject_Windsor,8,4,16,0,0,10,121,2.125,0.5,0.625
castleprojectcontrib_Castle.Windsor.Lifestyles,15,15,49,1,0,40,355,4.266666667,0.2,0.2
castleprojectcontrib_QuartzNetIntegration,11,5,120,17,0,101,1276,12,0.090909091,0.090909091
Catel_Catel,2185,2525,10593,3286,205,5637,231176,8.635240275,0.405491991,0.460411899
Catel_Catel.Examples,312,369,648,464,194,309,16002,2.804487179,0.051282051,0.048076923
CatenaLogic_GitLink,29,33,62,64,2,18,1216,5.068965517,0.310344828,0.344827586
ccnet_CruiseControl.NET,1368,2913,6393,2784,448,3808,139459,8.423976608,0.581140351,0.652777778
cdhowie_Eluant,53,41,338,39,4,212,3444,10.75471698,0.660377358,0.547169811
cefsharp_CefSharp.MinimalExample,12,20,35,11,1,9,612,3.5,0,0
cemdervis_SharpConfig,33,24,138,41,3,95,2608,9.636363636,0.606060606,0.606060606
cental_PatternSim,71,184,419,182,18,232,10561,15.49295775,0.23943662,0.253521127
CenturyLinkCloud_ElasticLINQ,217,345,844,300,46,473,12742,6.534562212,0.511520737,0.539170507
ChadBurggraf_blue-collar,8,6,18,10,0,12,504,8.25,0,0
ChadBurggraf_zencoder-cs,77,25,144,229,2,130,5131,3.727272727,0.337662338,0.337662338
ChadMoran_BattleDotNet,79,15,43,352,4,35,2678,0.949367089,0.025316456,0.025316456
chaliy_inline_scheduler,38,31,86,48,1,73,1092,3.684210526,0.157894737,0.157894737
charnet3d_DesktopLiveStreamer,13,92,93,24,6,47,2762,21.61538462,0,0
charri_Font-Awesome-WPF,157,46,196,109,25,134,13203,1.484076433,0.095541401,0.044585987
Cheesebaron_Cheesebaron.MvvmCross.Bindings,3,3,4,5,0,2,70,2,0,0
Cheesebaron_Cheesebaron.MvxPlugins,36,101,50,79,68,26,1096,2.722222222,0.083333333,0.083333333
Cheesebaron_Xam.Forms.Mvx,23,23,18,85,5,14,766,1.043478261,0.043478261,0.043478261
chendong152_Weixin_api_.net,102,69,157,292,57,132,4426,2.519607843,0.343137255,0.382352941
chocolatey_chocolatey.org,271,333,865,501,86,552,18651,5.180811808,0.280442804,0.295202952
chocolatey_ChocolateyGUI,86,162,352,311,10,217,6562,8.104651163,0.162790698,0.139534884
chraft_c-raft,527,458,2231,1116,143,1381,32588,9.056925996,0.781783681,1.277039848
chrisforbes_OpenRA,1233,3344,3794,381,1492,2848,56113,6.270884023,0.858069749,0.781832928
ChrisFulstow_log4net.SignalR,5,0,10,0,0,9,78,2,0,0
ChrisJansson_ObjLoader,90,81,199,91,3,111,2068,2.655555556,0.577777778,0.411111111
ChrisMcKee_cryptsharp,10,20,80,13,0,61,2040,16.7,0.1,0.1
ChrisMissal_chromelogger,4,3,15,7,0,10,137,3.75,0,0
ChrisMissal_Quiche,16,20,36,13,0,14,356,3.4375,0.0625,0.0625
ChrisMissal_TempusReader,8,43,28,0,26,25,299,3.625,0,0
chrisnicola_Mixpanel.NET,30,74,34,12,1,23,559,1.266666667,0.533333333,0.466666667
chrisparnin_automark,33,18,104,57,13,75,3377,16.33333333,0.060606061,0.060606061
ChristianRuiz_MvvmCross-ControlsNavigation,49,42,93,38,0,54,1085,2.551020408,0.224489796,0.326530612
chsword_Excel2Object,8,1,22,2,0,13,376,12.125,0.125,0.125
chucknorris_powerup,34,33,142,93,0,84,1967,9.529411765,0.352941176,0.470588235
chucknorris_roundhouse,6,13,13,4,0,4,191,4.666666667,0,0
chucknorris_sidepop,69,95,304,97,47,157,4698,8.579710145,0.420289855,0.536231884
chucknorris_uppercut,4,12,9,3,0,1,221,2.5,0,0
chummer5a_chummer5a,38,160,169,45,4,28,6859,22.52631579,0.052631579,0.052631579
Cimbalino_Cimbalino-Toolkit,524,198,1816,1055,63,1074,37999,7.416030534,0.276717557,0.295801527
Cimpress-MCP_TimberWinR,77,176,302,274,2,172,5891,10.8961039,0.493506494,0.480519481
cinteros_FetchXMLBuilder,84,509,269,55,162,98,9451,14.0952381,0.178571429,0.178571429
cityindex_LogSearchShipper,51,98,142,89,33,72,2823,5.568627451,0.117647059,0.117647059
cityindex-attic_CIAPI.CS,163,35,121,652,14,58,7709,2.472392638,0.067484663,0.067484663
CityofSantaMonica_SODA.NET,31,34,118,87,23,95,2976,9.161290323,0.096774194,0.096774194
cjmurph_PmsService,26,49,118,62,8,31,1969,8.076923077,0.076923077,0.076923077
clariuslabs_clide,113,138,382,109,1,259,4455,4.734513274,0.557522124,0.539823009
cliftonm_HOPE,539,930,2554,1667,25,1292,56193,11.64564007,0.322820037,0.32096475
clojure_clojure-clr,656,953,3710,531,187,2470,54386,10.9527439,0.405487805,0.396341463
ClothesHorse_Destrier,173,301,1326,340,133,1014,16233,15.71676301,0.150289017,0.121387283
ClothesHorse_microscope,21,33,108,31,8,34,2145,22.52380952,0.285714286,0.285714286
