Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,Connect,The length of the statement  "            this.comboBoxRange.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBoxRange_SelectionChanged); " is 133.
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,StartKinect,The following statement contains a magic number: Thread thread = new Thread( new ThreadStart( () =>        {          // ストリーミングプレイヤー          StreamingWavePlayer player = new StreamingWavePlayer( 16000' 16' 1' 100 );          // 音声入力用のバッファ          byte[] buffer = new byte[1024];            // エコーのキャンセルと抑制を有効にする          kinect.AudioSource.EchoCancellationMode = EchoCancellationMode.CancellationAndSuppression;            // 音声の入力を開始する          using ( Stream stream = kinect.AudioSource.Start() ) {            while ( isContinue ) {              // 音声を入力し、スピーカーに出力する              stream.Read( buffer' 0' buffer.Length );              player.Output( buffer );            }          }        } ) );
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,StartKinect,The following statement contains a magic number: Thread thread = new Thread( new ThreadStart( () =>        {          // ストリーミングプレイヤー          StreamingWavePlayer player = new StreamingWavePlayer( 16000' 16' 1' 100 );          // 音声入力用のバッファ          byte[] buffer = new byte[1024];            // エコーのキャンセルと抑制を有効にする          kinect.AudioSource.EchoCancellationMode = EchoCancellationMode.CancellationAndSuppression;            // 音声の入力を開始する          using ( Stream stream = kinect.AudioSource.Start() ) {            while ( isContinue ) {              // 音声を入力し、スピーカーに出力する              stream.Read( buffer' 0' buffer.Length );              player.Output( buffer );            }          }        } ) );
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,StartKinect,The following statement contains a magic number: Thread thread = new Thread( new ThreadStart( () =>        {          // ストリーミングプレイヤー          StreamingWavePlayer player = new StreamingWavePlayer( 16000' 16' 1' 100 );          // 音声入力用のバッファ          byte[] buffer = new byte[1024];            // エコーのキャンセルと抑制を有効にする          kinect.AudioSource.EchoCancellationMode = EchoCancellationMode.CancellationAndSuppression;            // 音声の入力を開始する          using ( Stream stream = kinect.AudioSource.Start() ) {            while ( isContinue ) {              // 音声を入力し、スピーカーに出力する              stream.Read( buffer' 0' buffer.Length );              player.Output( buffer );            }          }        } ) );
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,StartKinect,The following statement contains a magic number: Thread thread = new Thread( new ThreadStart( () =>        {          // ストリーミングプレイヤー          StreamingWavePlayer player = new StreamingWavePlayer( 16000' 16' 1' 100 );          // 音声入力用のバッファ          byte[] buffer = new byte[1024];            // エコーのキャンセルと抑制を有効にする          kinect.AudioSource.EchoCancellationMode = EchoCancellationMode.CancellationAndSuppression;            // 音声の入力を開始する          using ( Stream stream = kinect.AudioSource.Start() ) {            while ( isContinue ) {              // 音声を入力し、スピーカーに出力する              stream.Read( buffer' 0' buffer.Length );              player.Output( buffer );            }          }        } ) );
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,kinect_ColorFrameReady,The following statement contains a magic number: try {          // RGBカメラのフレームデータを取得する          using ( ColorImageFrame colorFrame = e.OpenColorImageFrame() ) {            if ( colorFrame != null ) {              // RGBカメラのピクセルデータを取得する              byte[] colorPixel = new byte[colorFrame.PixelDataLength];              colorFrame.CopyPixelDataTo( colorPixel );                // ピクセルデータをビットマップに変換する              imageRgb.Source = BitmapSource.Create( colorFrame.Width' colorFrame.Height' 96' 96'                  PixelFormats.Bgr32' null' colorPixel' colorFrame.Width * colorFrame.BytesPerPixel );            }          }        }        catch ( Exception ex ) {          MessageBox.Show( ex.Message );        }
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,kinect_ColorFrameReady,The following statement contains a magic number: try {          // RGBカメラのフレームデータを取得する          using ( ColorImageFrame colorFrame = e.OpenColorImageFrame() ) {            if ( colorFrame != null ) {              // RGBカメラのピクセルデータを取得する              byte[] colorPixel = new byte[colorFrame.PixelDataLength];              colorFrame.CopyPixelDataTo( colorPixel );                // ピクセルデータをビットマップに変換する              imageRgb.Source = BitmapSource.Create( colorFrame.Width' colorFrame.Height' 96' 96'                  PixelFormats.Bgr32' null' colorPixel' colorFrame.Width * colorFrame.BytesPerPixel );            }          }        }        catch ( Exception ex ) {          MessageBox.Show( ex.Message );        }
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,kinect_DepthFrameReady,The following statement contains a magic number: try {          // センサーのインスタンスを取得する          KinectSensor kinect = sender as KinectSensor;          if ( kinect == null ) {            return;          }            // 距離カメラのフレームデータを取得する          using ( DepthImageFrame depthFrame = e.OpenDepthImageFrame() ) {            if ( depthFrame != null ) {              // 距離データを画像化して表示              imageDepth.Source = BitmapSource.Create( depthFrame.Width' depthFrame.Height' 96' 96'                  PixelFormats.Bgr32' null' ConvertDepthColor( kinect' depthFrame )'                  depthFrame.Width * Bgr32BytesPerPixel );            }          }        }        catch ( Exception ex ) {          MessageBox.Show( ex.Message );        }
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,kinect_DepthFrameReady,The following statement contains a magic number: try {          // センサーのインスタンスを取得する          KinectSensor kinect = sender as KinectSensor;          if ( kinect == null ) {            return;          }            // 距離カメラのフレームデータを取得する          using ( DepthImageFrame depthFrame = e.OpenDepthImageFrame() ) {            if ( depthFrame != null ) {              // 距離データを画像化して表示              imageDepth.Source = BitmapSource.Create( depthFrame.Width' depthFrame.Height' 96' 96'                  PixelFormats.Bgr32' null' ConvertDepthColor( kinect' depthFrame )'                  depthFrame.Width * Bgr32BytesPerPixel );            }          }        }        catch ( Exception ex ) {          MessageBox.Show( ex.Message );        }
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,DrawEllipse,The following statement contains a magic number: const int R = 5;
Magic Number,AudioOutput,MainWindow,C:\repos\geis_KinectSDKBook4CS\1_basic\AudioOutput\MainWindow.xaml.cs,DrawEllipse,The following statement contains a magic number: canvasSkeleton.Children.Add( new Ellipse()        {          Fill = new SolidColorBrush( Colors.Red )'          Margin = new Thickness( point.X - R' point.Y - R' 0' 0 )'          Width = R * 2'          Height = R * 2'        } );
