Implementation smell,Namespace,Class,File,Method,Description
Long Statement,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,Connect,The length of the statement  "            this.comboBoxRange.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBoxRange_SelectionChanged); " is 133.
Magic Number,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,kinect_ColorFrameReady,The following statement contains a magic number: imageRgb.Source = BitmapSource.Create( colorFrame.Width'                colorFrame.Height' 96' 96' PixelFormats.Bgr32' null' colorPixel'                colorFrame.Width * colorFrame.BytesPerPixel );
Magic Number,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,kinect_ColorFrameReady,The following statement contains a magic number: imageRgb.Source = BitmapSource.Create( colorFrame.Width'                colorFrame.Height' 96' 96' PixelFormats.Bgr32' null' colorPixel'                colorFrame.Width * colorFrame.BytesPerPixel );
Magic Number,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,kinect_DepthFrameReady,The following statement contains a magic number: imageDepth.Source = BitmapSource.Create( depthFrame.Width'                depthFrame.Height' 96' 96' PixelFormats.Bgr32' null'                ConvertDepthColor( kinect' depthFrame )'                depthFrame.Width * Bgr32BytesPerPixel );
Magic Number,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,kinect_DepthFrameReady,The following statement contains a magic number: imageDepth.Source = BitmapSource.Create( depthFrame.Width'                depthFrame.Height' 96' 96' PixelFormats.Bgr32' null'                ConvertDepthColor( kinect' depthFrame )'                depthFrame.Width * Bgr32BytesPerPixel );
Magic Number,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,ConvertDepthColor,The following statement contains a magic number: depthColor[colorIndex + 2] = 255;
Magic Number,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,ConvertDepthColor,The following statement contains a magic number: depthColor[colorIndex + 2] = 255;
Magic Number,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 5 "..\..\..\MainWindow.xaml"              ((DepthCamera.MainWindow)(target)).Closing += new System.ComponentModel.CancelEventHandler(this.Window_Closing);                            #line default              #line hidden              return;              case 2:              this.imageRgb = ((System.Windows.Controls.Image)(target));              return;              case 3:              this.imageDepth = ((System.Windows.Controls.Image)(target));              return;              case 4:              this.comboBoxRange = ((System.Windows.Controls.ComboBox)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.comboBoxRange.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBoxRange_SelectionChanged);                            #line default              #line hidden              return;              }
Magic Number,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 5 "..\..\..\MainWindow.xaml"              ((DepthCamera.MainWindow)(target)).Closing += new System.ComponentModel.CancelEventHandler(this.Window_Closing);                            #line default              #line hidden              return;              case 2:              this.imageRgb = ((System.Windows.Controls.Image)(target));              return;              case 3:              this.imageDepth = ((System.Windows.Controls.Image)(target));              return;              case 4:              this.comboBoxRange = ((System.Windows.Controls.ComboBox)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.comboBoxRange.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBoxRange_SelectionChanged);                            #line default              #line hidden              return;              }
Magic Number,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 5 "..\..\..\MainWindow.xaml"              ((DepthCamera.MainWindow)(target)).Closing += new System.ComponentModel.CancelEventHandler(this.Window_Closing);                            #line default              #line hidden              return;              case 2:              this.imageRgb = ((System.Windows.Controls.Image)(target));              return;              case 3:              this.imageDepth = ((System.Windows.Controls.Image)(target));              return;              case 4:              this.comboBoxRange = ((System.Windows.Controls.ComboBox)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.comboBoxRange.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBoxRange_SelectionChanged);                            #line default              #line hidden              return;              }
Missing Default,DepthCamera,MainWindow,D:\research\architectureSmells\repos\geis_KinectSDKBook4CS\1_basic\DepthCamera\MainWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:                            #line 5 "..\..\..\MainWindow.xaml"              ((DepthCamera.MainWindow)(target)).Closing += new System.ComponentModel.CancelEventHandler(this.Window_Closing);                            #line default              #line hidden              return;              case 2:              this.imageRgb = ((System.Windows.Controls.Image)(target));              return;              case 3:              this.imageDepth = ((System.Windows.Controls.Image)(target));              return;              case 4:              this.comboBoxRange = ((System.Windows.Controls.ComboBox)(target));                            #line 10 "..\..\..\MainWindow.xaml"              this.comboBoxRange.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.comboBoxRange_SelectionChanged);                            #line default              #line hidden              return;              }
