Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Registration.IntegrationTests.PricedOrderViewModelGeneratorFixture,when_reading_order,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\PricedOrderViewModelGeneratorFixture.cs,then_creates_model_with_expiration_date_and_version,The length of the statement  "                Assert.InRange(dto.ReservationExpirationDate.Value' orderPlaced.ReservationAutoExpiration.AddSeconds(-1)' orderPlaced.ReservationAutoExpiration.AddSeconds(1)); " is 159.
Long Statement,Registration.IntegrationTests.PricedOrderViewModelGeneratorFixture,when_reading_order,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\PricedOrderViewModelGeneratorFixture.cs,then_order_placed_is_idempotent,The length of the statement  "                Assert.InRange(dto.ReservationExpirationDate.Value' orderPlaced.ReservationAutoExpiration.AddSeconds(-1)' orderPlaced.ReservationAutoExpiration.AddSeconds(1)); " is 159.
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_no_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_created_even_when_conference_created_was_not_handled_then_creates_seat,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_no_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_created_even_when_conference_created_was_not_handled_then_creates_seat,The following statement contains a magic number: Assert.Equal(200' dto.Price);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_updated_then_conference_dto_populated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_updated_then_conference_dto_populated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_updated_then_conference_dto_populated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_updated_then_conference_dto_populated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_updated_then_conference_dto_populated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_published_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_published_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_published_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_published_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_conference_published_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_published_conference_unpublished_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_published_conference_unpublished_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_published_conference_unpublished_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_published_conference_unpublished_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_published_conference_unpublished_then_conference_dto_updated,The following statement contains a magic number: var startDate = new DateTimeOffset(2012' 04' 20' 15' 0' 0' TimeSpan.FromHours(-8));
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_created_then_adds_seat,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'              });
