Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.GeneralHandTests,HandParserGeneralHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\GeneralHandTests\HandParserGeneralHandTests.cs,HandParserGeneralHandTests,The method has 8 parameters. Parameters: site' expectedHandId' expectedDateOfHand' expectedDealerButtonPosition' expectedNumberOfPlayers' expectedRake' expectedPotSize' handFile
Long Parameter List,HandHistories.Parser.UnitTests.Utils.AllInActionHelperTests,AllInActionHelperTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Utils\AllInActionHelperTests\AllInActionHelperTests.AllInActionType.cs,TestAllInActionHelper,The method has 5 parameters. Parameters: playerName' amount' street' actions' expectedAllInActionType
Long Identifier,HandHistories.Parser.UnitTests.Parsers.PerformanceTest,HandParserPerformanceTest,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\PerformanceTests\HandParserPerformanceTests.cs,Performance_Parse1000Hands,The length of the parameter ExecutionTimeLessThanFiveSeconds is 32.
Long Statement,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_RaisesReachesCap_Works,The length of the statement  "                GetPokerStarsFastParser().ParseRegularActionLine(@"WANGZHEGL: raises $7.10 to $9.01 and has reached the $10 cap"' 9' Street.Preflop); " is 133.
Long Statement,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_CallsReachesCap_Works,The length of the statement  "                GetPokerStarsFastParser().ParseRegularActionLine(@"tzuiop23: calls $62.35 and has reached the $80 cap"' 8' Street.Preflop); " is 123.
Long Statement,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_BetsReachesCap_Works,The length of the statement  "                GetPokerStarsFastParser().ParseRegularActionLine(@"tzuiop23: bets $62.84 and has reached the $80 cap"' 8' Street.Preflop); " is 122.
Long Statement,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_RaiseAllIn_Works,The length of the statement  "                 GetPokerStarsFastParser().ParseRegularActionLine(@"Piotr280688: raises $8.32 to $12.88 and is all-in"' 11' Street.Flop); " is 120.
Long Statement,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseMiscShowdownLine_PloHiLo_Works,The length of the statement  "                GetPokerStarsFastParser().ParseMiscShowdownLine(@"DOT19: shows [As 8h Ac Kd] (HI: two pair' Aces and Sixes)"' -1' GameType.PotLimitOmahaHiLo); " is 142.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandParserTests.CommunityCardTests,HandParserCommunityCardTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\CommunityCardTests\HandParserCommunityCardTests.cs,TestBoard,The length of the statement  "            string handText = SampleHandHistoryRepository.GetCommunityCardsHandHistoryText(PokerFormat.CashGame' Site' expectedBoard.Street); " is 129.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandParserTests.CommunityCardTests,HandParserCommunityCardTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandParserTests\CommunityCardTests\HandParserCommunityCardTests.cs,ParseCommunityCards_River,The length of the statement  "            TestBoard(BoardCards.ForRiver(Card.Parse("5d")' Card.Parse("Ks")' Card.Parse("7c")' Card.Parse("Jc")' Card.Parse("7d"))); " is 121.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.GeneralHandTests,HandParserGeneralHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\GeneralHandTests\HandParserGeneralHandTests.cs,ParseDateOfHand_ConvertsToUtcDateTime,The length of the statement  "            Assert.AreEqual(_expectedDateTime' GetSummmaryParser().ParseDateUtc(_handText)' "IHandHistorySummaryParser: ParseDateUtc"); " is 123.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.GeneralHandTests,HandParserGeneralHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\GeneralHandTests\HandParserGeneralHandTests.cs,ParseDealerButtonPosition_Works,The length of the statement  "            Assert.AreEqual(_expectedDealerButtonPosition' GetSummmaryParser().ParseDealerPosition(_handText)' "IHandHistorySummaryParser: ParseDealerPosition"); " is 149.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.GeneralHandTests,HandParserGeneralHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\GeneralHandTests\HandParserGeneralHandTests.cs,ParseDealerButtonPosition_Works,The length of the statement  "            Assert.AreEqual(_expectedDealerButtonPosition' GetParser().ParseDealerPosition(_handText)' "IHandHistoryParser: ParseDealerPosition"); " is 134.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.GeneralHandTests,HandParserGeneralHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\GeneralHandTests\HandParserGeneralHandTests.cs,ParseNumPlayers_Works,The length of the statement  "            Assert.AreEqual(_expectedNumberOfPlayers' GetSummmaryParser().ParseNumPlayers(_handText)' "IHandHistorySummaryParser: ParseNumPlayers"); " is 136.
