Implementation smell,Namespace,Class,File,Method,Description
Long Method,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The method has 351 lines of code.
Complex Method,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,Cyclomatic complexity of the method is 18
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			var genReceiveAddress2 = JsonConvert.DeserializeObject<GenerateReceiveAddress_Result>(cbc.GenerateReceiveAddress("http://www.example.com"' "Sample Label")); " is 156.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			var OAuthApp = JsonConvert.DeserializeObject<CreateOAuthApp_Result>(cbc.CreateOAuthApplication("Sample App444"' "http://www.example.com")); " is 139.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			var createorderResult = JsonConvert.DeserializeObject<CreateOrder_Result>(cbc.CreateNewOrder("Sample Item"' "0.005"' "BTC")); " is 125.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			// Coinbase returns an error message if the order is null. The format is completely different than the standard response. " is 121.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			Console.WriteLine("Coinbase Fee: " + buypriceResult.fees[0].coinbase.amount + " " + buypriceResult.fees[0].coinbase.currency); " is 126.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			Console.WriteLine("Coinbase Fee: " + sellpriceResult.fees[0].coinbase.amount + " " + sellpriceResult.fees[0].coinbase.currency); " is 128.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			var reportResult = JsonConvert.DeserializeObject<GenerateReport_Result>(cbc.GenerateCSVReport("test@test.com"' "transactions")); " is 128.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			Console.WriteLine("Total Amount: " + sellbitcoinResult.transfer.total.cents + " " + sellbitcoinResult.transfer.total.currency_iso); " is 131.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			var transactiondetailsResult = JsonConvert.DeserializeObject<TransactionDetails_Result>(cbc.GetTransactionsList(transactionID)); " is 128.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			var createinvoiceResult = JsonConvert.DeserializeObject<CreateInvoice_Result>(cbc.SendInvoice("test@test.com"'"0.001")); " is 120.
Long Statement,TestApp,Program,D:\research\architectureSmells\repos\chrisgwilliams_Coinbase.NET\TestApp\Program.cs,Main,The length of the statement  "			var createuserResult = JsonConvert.DeserializeObject<CreateUser_Result>(cbc.CreateNewUser("newuseremail@email.com"' "badpassword")); " is 132.
