Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The method has 20 parameters.
Long Statement,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The length of the statement  "	}).ForeignKey ("dbo.AspNetRoles"' t => t.RoleId' cascadeDelete: true).ForeignKey ("dbo.AspNetUsers"' t => t.UserId' cascadeDelete: true).Index (t => t.UserId).Index (t => t.RoleId); " is 181.
Long Statement,QuizApp.Data.Migrations,changes1,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407212236542_changes1.cs,Up,The length of the statement  "	}).PrimaryKey (t => t.Id).ForeignKey ("dbo.Questions"' t => t.QuestionId' cascadeDelete: false).Index (t => t.QuestionId); " is 122.
Magic Number,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The following statement contains a magic number: CreateTable ("dbo.AspNetRoles"' c => new {  	Id = c.String (nullable: false' maxLength: 128)'  	Name = c.String (nullable: false' maxLength: 256)  }).PrimaryKey (t => t.Id).Index (t => t.Name' unique: true' name: "RoleNameIndex");  
Magic Number,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The following statement contains a magic number: CreateTable ("dbo.AspNetRoles"' c => new {  	Id = c.String (nullable: false' maxLength: 128)'  	Name = c.String (nullable: false' maxLength: 256)  }).PrimaryKey (t => t.Id).Index (t => t.Name' unique: true' name: "RoleNameIndex");  
Magic Number,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The following statement contains a magic number: CreateTable ("dbo.AspNetUserRoles"' c => new {  	UserId = c.String (nullable: false' maxLength: 128)'  	RoleId = c.String (nullable: false' maxLength: 128)  }).PrimaryKey (t => new {  	t.UserId'  	t.RoleId  }).ForeignKey ("dbo.AspNetRoles"' t => t.RoleId' cascadeDelete: true).ForeignKey ("dbo.AspNetUsers"' t => t.UserId' cascadeDelete: true).Index (t => t.UserId).Index (t => t.RoleId);  
Magic Number,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The following statement contains a magic number: CreateTable ("dbo.AspNetUserRoles"' c => new {  	UserId = c.String (nullable: false' maxLength: 128)'  	RoleId = c.String (nullable: false' maxLength: 128)  }).PrimaryKey (t => new {  	t.UserId'  	t.RoleId  }).ForeignKey ("dbo.AspNetRoles"' t => t.RoleId' cascadeDelete: true).ForeignKey ("dbo.AspNetUsers"' t => t.UserId' cascadeDelete: true).Index (t => t.UserId).Index (t => t.RoleId);  
Magic Number,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The following statement contains a magic number: CreateTable ("dbo.AspNetUsers"' c => new {  	Id = c.String (nullable: false' maxLength: 128)'  	Email = c.String (maxLength: 256)'  	EmailConfirmed = c.Boolean (nullable: false)'  	PasswordHash = c.String ()'  	SecurityStamp = c.String ()'  	PhoneNumber = c.String ()'  	PhoneNumberConfirmed = c.Boolean (nullable: false)'  	TwoFactorEnabled = c.Boolean (nullable: false)'  	LockoutEndDateUtc = c.DateTime ()'  	LockoutEnabled = c.Boolean (nullable: false)'  	AccessFailedCount = c.Int (nullable: false)'  	UserName = c.String (nullable: false' maxLength: 256)  }).PrimaryKey (t => t.Id).Index (t => t.UserName' unique: true' name: "UserNameIndex");  
Magic Number,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The following statement contains a magic number: CreateTable ("dbo.AspNetUsers"' c => new {  	Id = c.String (nullable: false' maxLength: 128)'  	Email = c.String (maxLength: 256)'  	EmailConfirmed = c.Boolean (nullable: false)'  	PasswordHash = c.String ()'  	SecurityStamp = c.String ()'  	PhoneNumber = c.String ()'  	PhoneNumberConfirmed = c.Boolean (nullable: false)'  	TwoFactorEnabled = c.Boolean (nullable: false)'  	LockoutEndDateUtc = c.DateTime ()'  	LockoutEnabled = c.Boolean (nullable: false)'  	AccessFailedCount = c.Int (nullable: false)'  	UserName = c.String (nullable: false' maxLength: 256)  }).PrimaryKey (t => t.Id).Index (t => t.UserName' unique: true' name: "UserNameIndex");  
Magic Number,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The following statement contains a magic number: CreateTable ("dbo.AspNetUsers"' c => new {  	Id = c.String (nullable: false' maxLength: 128)'  	Email = c.String (maxLength: 256)'  	EmailConfirmed = c.Boolean (nullable: false)'  	PasswordHash = c.String ()'  	SecurityStamp = c.String ()'  	PhoneNumber = c.String ()'  	PhoneNumberConfirmed = c.Boolean (nullable: false)'  	TwoFactorEnabled = c.Boolean (nullable: false)'  	LockoutEndDateUtc = c.DateTime ()'  	LockoutEnabled = c.Boolean (nullable: false)'  	AccessFailedCount = c.Int (nullable: false)'  	UserName = c.String (nullable: false' maxLength: 256)  }).PrimaryKey (t => t.Id).Index (t => t.UserName' unique: true' name: "UserNameIndex");  
Magic Number,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The following statement contains a magic number: CreateTable ("dbo.AspNetUserClaims"' c => new {  	Id = c.Int (nullable: false' identity: true)'  	UserId = c.String (nullable: false' maxLength: 128)'  	ClaimType = c.String ()'  	ClaimValue = c.String ()  }).PrimaryKey (t => t.Id).ForeignKey ("dbo.AspNetUsers"' t => t.UserId' cascadeDelete: true).Index (t => t.UserId);  
Magic Number,QuizApp.Data.Migrations,InitialMigration,C:\repos\urielzen_QuizAppAngularWebAPI\QuizApp.Data\Migrations\201407211923189_InitialMigration.cs,Up,The following statement contains a magic number: CreateTable ("dbo.AspNetUserLogins"' c => new {  	LoginProvider = c.String (nullable: false' maxLength: 128)'  	ProviderKey = c.String (nullable: false' maxLength: 128)'  	UserId = c.String (nullable: false' maxLength: 128)  }).PrimaryKey (t => new {  	t.LoginProvider'  	t.ProviderKey'  	t.UserId  }).ForeignKey ("dbo.AspNetUsers"' t => t.UserId' cascadeDelete: true).Index (t => t.UserId);  
